,Unnamed: 0,overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image,review_clean
0,156315,5,,True,"07 15, 2016",A2PGCMD2Z2NSJA,B008S50NEW,,Soul Music Lover,"As always the magnificent Anita delivers! She recreates ""Lately"" into her own style. It's a gorgeous remake that almost sounds like a new song but still pays excellent homage to the original version by Tyrese. I have both artist's versions and love both. Anita did an outstanding job and her signature style lushly delivers a masterpiece...once again.",It's a gorgeous remake that almost sounds like a new song but still pays excellent homage to ...,1468540800,,delivers sound gorgeous masterpiece...once recreates style pay artist's song version remake signature almost lately anita like version excellent outstanding homage tyrese magnificent lushly always love still new original job
1,161548,5,,False,"07 3, 2015",AIZWM3J1HG027,B00G2J3X20,{'Format:': ' Audio CD'},rfbest,I love Christmas music and this is a good Christmas album.,Album,1435881600,,christmas love music album good
2,66670,5,,True,"08 31, 2013",A2UAVYFK0WQ36R,B0045NAJ72,{'Format:': ' MP3 Music'},moe725,It's wonderful to be able to listen to an old favorite at any time without having to work you way through an entire album. I really enjoy these downloads,A Old Favorite,1377907200,,favorite able work enjoy way old time without album wonderful really entire downloads listen
3,35228,4,,True,"09 28, 2013",AVTQB8FI2KW8Q,B0011Z0ZU8,{'Format:': ' MP3 Music'},Annie M daffodils,"I have to say that, out of all the songs on the CD on which this song appears, there are only two songs I like.  This, obviously, is one of them.  I like it quite a lot, have seen the video and like it too.  The lead singer has a very appealing, lilting voice.  I just advise anyone who may be buying an entire CD from ""Sixpence None the Richer"" to listen to a portion of all the songs.  It may just be me; others may like all the songs, but my advice is to check it out.",Great song,1380326400,,lead portion video rich anyone buy quite none singer song two advice obviously like sixpence appear appeal see check song one cd say advise entire lot lilting may voice others listen
4,42113,5,,False,"07 10, 2012",A1PIRSADYLJUSV,B00136JGBO,{'Format:': ' MP3 Music'},K. Bee,Kurt Carr and his singers sing this song like they have spent time on their knees. It touched my soul!,It touched my soul,1341878400,,spent soul song sing like time singer knee kurt touch carr
5,118945,4,,False,"06 15, 2016",A4TUG0Q6O5QFO,B01DVCFIVY,{'Format:': ' Audio CD'},Dave Fever Tree Sigmon,"The entrance to Paul Simon's latest creation with ""The Werewolf"" shows his wit to be as sharp as it's ever been. The music to this song is as stunning as anything he's ever written. It opens with an Indian instrument called the gopichand (unknown to me) and it makes you do an about face. It's unsettling, just like its violent lyrics. Though ""The Werewolf"" (and most of the album) is percussive, when the pipe organ creeps in, the song's deathly feel is manifest.  In ""Street Angel"" and ""In a Parade"", Simon faces a social taboo with raw emotion. They're both subjects of the same homeless person. The fine melodies give service to their great rhythms. Again, percussion effects dominate here. With ""Street Angel"", the character has something to latch on to, but on ""In a Parade"" he checks into the ER with total absence of a vision. These two cuts could have made for one of the most tough-minded concept seven-inch singles.  The wonderful ""Cool Papa Bell"" is musically upbeat in the ""Graceland"" tradition of the fastest baseball player in the pre-Jackie Robinson era. The profanity in the song is subtly sung.  Simon still embraces his melodic folk roots. The two highlights are a sweet, brief instrumental entitled ""In the Garden of Edie"" , which is dedicated to his wife. The other is the closer, ""Insomniac's Lullaby"". This last song has two instruments I'd never heard of; the zoomoozophone and the chromelodeon. Maybe these instruments sound odd but every sound is layered oh so right. It's Simon's more halcyon death song than ""The Werewolf"".  The only thing predictable about Simon is that he spaces his studio albums by half a decade. There's nothing beyond the realm of possibility in him finding sonic surprise. Most of this music offers that evidence.",Simon's Latest Sonic Delight,1465948800,,give player face embrace simon's lyric er entrance paul person papa maybe brief dominate decade fast open sonic like violent ever emotion creation space offer service deathly could era character gopichand heard fine street half parade realm concept garden last tradition absence nothing instrument thing i'd effect taboo something great sung lullaby single vision chromelodeon song feel pre-jackie oh root song's surprise wife music entitle write bell folk robinson one halcyon face death make unknown right manifest sharp odd highlight check beyond creep sweet predictable unsettling possibility stun studio indian edie cool latch melodic find album raw instrumental still late closer dedicate organ musically subject sound homeless baseball seven-inch simon show tough-minded percussive profanity never albums cut upbeat rhythms social werewolf melody pipe two zoomoozophone subtly total instrument though evidence layer call wonderful make there's insomniac's wit angel they're graceland every anything percussion he's
6,108791,5,,True,"06 20, 2015",A1HSUCYKMQYPMJ,B00T7G72OA,{'Format:': ' MP3 Music'},Lounar Solutions,"Love the beat , gets me going every time",Five Stars,1434758400,,time love beat get every go
7,53164,5,,True,"03 1, 2013",A5VXYJ0FU0C1G,B001AUEMFS,{'Format:': ' MP3 Music'},DDare Bionic,I like their knew album even more than this one. This one was not their best effort I must say.,Viva La...,1362096000,,one effort say album even best must know like
8,93485,5,,True,"10 19, 2013",A1TS647UGQKJEA,B00FWJ99LK,{'Format:': ' MP3 Music'},Morgan Evans,"I've always been a hiphop fan, but never really an Eminem fan (which breaks stereotypes cause I'm white). People would always say I'm crazy for not loving Eminem, but I dunno he never really clicked with my interest. Berzerk was good, so I bought that (my 6th Eminem song, lol). Then I heard this song and my ears rejoiced cause it was really good. I'd go so far as to say it's the best rap song of this year! Even if you're not an Em fan, like me, this song will touch you and make you want to purchase it....",Amazing Rap Song....,1382140800,,far em good hiphop buy i'd clicked make crazy stereotype never i've i'm song best want ear like break purchase would rejoice lol dunno really people white rap cause go interest year heard fan always eminem say touch berzerk even love
9,3643,3,,True,"10 6, 2013",A3D32QEWO8JRUL,B000V61700,{'Format:': ' MP3 Music'},Violet M. Bauman,This song is like her other song that I have. I listen to it once in a while. It is okay.,Come To My Window by Melissa Etheridge,1381017600,,okay song listen like
