,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image,review_clean
0,607010,4,True,"06 21, 2017",ARP69TQ1M66D1,B008JA73RG,Stephanie Smith,"Was really a lot saltier than I thought. Next time low sodium,...",Four Stars,1498003200,,"{'Size:': ' 4 Packs of 6', 'Flavor:': ' 100% Vegetable Juice'}",,time think low lot sodium really next saltier
1,283880,3,False,"05 27, 2012",A19123D9G66E0O,B0019GVBYI,Tim,"Bilberry taste a lot like the berry of similar spelling. To put it straightly it tastes a lot like a slightly tart blueberry. They may be a simplistic view of this tea, but I think that is a universal flavor identification that everyone can agree with. I like tea, and this one is not bad. It is definitely different and I might say worth trying out to see if you like it. Bilberrys are of course high in anthocyanins which is the same powerful antioxidant behind recent health fads as the acai berry and black raspberry.  Pros: +Healthy +Unique taste  Cons: -Unique taste  Overall three stars. Remember that three stars means it just okay, I am not hammering this product as I am sure some people will very much so enjoy it. If you are taking it for health purposes than I am sure you won't mind the taste at all as it is great tasting for medicine.",It's Okay,1338076800,9.0,"{'Size:': ' 24 tea bags', 'Flavor:': ' Bilberry'}",,simplistic black much view antioxidant taste enjoy bilberry like powerful berry agree take might product health think everyone blueberry high pro anthocyanins tea con flavor spell definitely sure great slightly medicine unique different mean taste raspberry put star course one lot similar try recent worth fad remember mind bad identification acai see taste universal purpose overall hammer okay tart behind people bilberry straightly say three may healthy
2,1033334,5,True,"06 27, 2016",AZJ2XNKB6OEQA,B000O9VGFA,ned1644,Bought these to make vanilla extract.  Very flavorful.,Good Product,1466985600,,,,extract buy flavorful make vanilla
3,536189,5,False,"11 27, 2013",A2YP1HYB6Q0JEQ,B005LURCNW,Todd7,"These instant tea packets really come in handy when traveling, or when your local store is out of the bottled tea. Simply dissolve crystals into water (I prefer 16 ounces of bottled water), shake and enjoy the robust flavor that's very similar to the Diet Snapple bottled teas.",Handy,1385510400,,{'Flavor:': ' Peach Tea'},,local similar bottle instant tea dissolve diet flavor shake snapple enjoy robust crystal packet ounce travel prefer really handy tea that's simply come water store
4,487836,5,True,"05 13, 2013",A3XJ3RXC318M9,B004VLVMO2,Kindle Customer,I loved this product.  I make granola with it and it's delicious.  The texture and flavor is really good.  I would definitely buy it again.,Bob's Rolled Spelt Flakes,1368403200,,{'Size:': ' 16 Ounce'},,texture delicious good granola make flavor definitely love would really buy product
5,796811,5,True,"10 14, 2011",A3PZ7YO41LH347,B00HYKDSG2,Amazon Customer,"These were recommended by a friend, and they work great!  I sing professionally, and often have allergies or just need my throat to stay moistened.  These are not too big to hold in your mouth while singing, and taste really good.",A singer's dream,1318550400,,{'Package Type:': ' Standard Packaging'},,mouth good moisten professionally throat singing recommend big great taste work allergy often sing friend stay really need hold
6,860586,2,False,"01 12, 2016",A2YBNVERRS1GGB,B00MYRXIIS,Elena,"Way too much steviia, weird aftertaste",Two Stars,1452556800,,"{'Size:': ' Large', 'Flavor:': ' Vanilla'}",,weird steviia aftertaste way much
7,647737,5,True,"11 9, 2016",A3B5K05DHOW3R1,B00AZL950A,masterj,so happy find great maker here on amazon . they make some very best candies we have ever eaten . will buy more . john,so happy find great maker here on amazon,1478649600,,"{'Size:': ' 1 Pound Gift Box', 'Flavor:': ' Pecanette Original / Milk Chocolate'}",,make great find amazon best happy ever maker candy john buy eaten
8,808096,5,True,"04 30, 2014",A30N4IKY7698QI,B00IKS7ACK,I Love Lucy,"Yep, it tastes like a York Peppermint Patty and was a great Easter addition. This is a nice size for the price.",Peppermint,1398816000,,{'Size:': ' Single Pack'},,yep nice addition great price peppermint like size taste york patty easter
9,281732,3,True,"08 29, 2017",A25NXH7CGEYJ7Q,B0018AJAIY,The Wild Olive,"I bought these to flavor my homemade remineralizing mouthwash.  It's a nice sampler set to test drive the flavors. These are micro sized bottles, but strong flavors so you don't need much.  The big problem for me is they do not have drip-top inserts (like the ones most bottles of essential oils have), so pouring out just a few drops is nearly impossible.  I waste about as much as I use every time I use them because it runs down the side of the bottle or I pour out way too much.  The peppermint and spearmint flavors are nice, haven't tried the wintergreen yet, and the creme de menthe is really underwhelming.  I doubt I will ever purchase another set of flavorings in these tiny bottles - too hard to use.  I prefer 1 oz bottles for which you can buy replacement dropper tops.","Nice set, but bottles are hard to pour out controlled amount",1503964800,3.0,{'Flavor:': ' Mint'},,insert nice hard much use drive way peppermint like ever prefer oil need bottle remineralizing one size menthe replacement pour flavor big problem run test sampler nearly drops micro really spearmint waste flavoring time purchase flavor mouthwash wintergreen buy underwhelming bottle top creme oz de bought side pour set drip-top homemade yet doubt tried dropper impossible tiny essential another strong every
