,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image,review_clean
0,0,4,True,"02 26, 2014",A5QQOOZJOVPSF,B00005N7P0,John L. Mehlmauer,"I'm old, and so is my computer.  Any advice that can help me maximize my computer perfomance is very welcome.  MaximumPC has some good tips on computer parts, vendors, and usefull tests",Cheapskates guide,1393372800,,,,usefull vendor good test maximize tip i'm advice old help part maximumpc welcome perfomance computer
1,1,5,False,"03 6, 2004",A5RHZE7B8SV5Q,B00005N7PS,gorillazfan249,"There's nothing to say, but if you want a REAL men's magazine, this is it. They have great articles and stories, and I love the bits of knowledge that starts the Know & Tell section, and I love the last page, which has an interview with a celebrity. Just get this magazine and forget all the other mature men's mags.",The best mature Men's magazine.,1078531200,3.0,,,know knowledge celebrity get nothing story men's great real forget want article mag magazine there's start section bit mature say interview page love tell last
2,2,1,False,"07 15, 2003",A1RPTVW5VEOSI,B00005N7PS,Michael J. Edelman,"If you're the kind of man who looks at himself in a full length mirrror every morning, this is the magazine for you. If you think the car you drive defines you, the clothes you wear are the measure of your self-worth, the watch on your wrist tells the value of you as a person, and the woman you're seen with is a measure of your rank in society- you need this magazine. Other men- who might value human relationships- may profitably give it a pass.",THE Magazine for the Self-Centered Male,1058227200,17.0,,,wear defines society look self-worth human give man length measure kind tell relationship mirrror person drive car pas full magazine watch clothes men value woman see profitably wrist need might think every rank may morning
3,3,1,True,"01 31, 2015",A1SFRBCMW8XVBW,B00005N7PS,Hoyett L. Barnett,Nothing to it.  Just an advertisement.  Little article content.,Nothing to it. Just an advertisement. Little article ...,1422662400,,,,nothing content little article advertisement
4,4,5,True,"10 5, 2010",A1IU9VPCBKZPE8,B00005N7P0,Randolph Eck,"When PC Magazine ceased publication of their paper magazine, I began to look for a replacement, and I found it in this magazine. This magazine covers the latest information in the field of computers and related technology. Some of my favorite sections are:  White paper - In this section a technology is explained. For example, in the last issue I read how AES secures your data.  Doctor - This section answers user questions. I always seem to find some very useful information here.  Features - Presents feature articles on timely subjects.  News - Presents the latest news in the field.  Reviews - Here the magazine reviews various tech gear and rates them with a rating system from one to ten.  Overall, I have been pleased with the coverage of the computer field that this magazine presents.",Excellent Computer Magazine,1286236800,2.0,,,rate cease find gear feature news cover section doctor useful timely last tech favorite replacement pc technology magazine find read secures answer one issue computer coverage publication question ten information various white pleased paper begin late user subject aes rating field review overall present section article look system seem explain always computer example relate data feature
5,5,4,False,"10 21, 2008",AG6TX1ZJHLMO7,B00005N7PS,W. Dietrich,Details is much less indepth / informative as GQ or Esquire.  The articles are shorter in length and not as journalistic. Articles are more about lifestyles and less about sports / women and cars.  With reveiews that are typically a few paragraphs long.  The magazine itselfs seems geared towards a younger male and a more metrosexual lifestyle. The price is right and for $10 it a great investment as you most likely find a few things each month of interest.,A toned down GQ / Esquire,1224547200,2.0,,,typically lifestyles length likely towards reveiews woman month seem much gear paragraphs great find male esquire investment metrosexual price itselfs gq article informative magazine less long indepth thing detail interest shorter sport lifestyle young journalistic right car
6,6,5,True,"02 25, 2009",A3OIE7IE9LTPJG,B00005N7P0,GatorMan,"In my mind BEST PC Magazine for upgrades / hardware info, tips . tricks, etc. Great Price",Best PC Magazine,1235520000,,,,info tip mind hardware trick etc great upgrades price best pc magazine
7,7,3,False,"03 15, 2006",A3JPFWKS83R49V,B00005N7PS,Bryan Carey,"Details is a mildly interesting magazine that is geared toward men of various ages and lifestyles. The main group that Details aims to capture is the 17 to 35 year- old male but there are articles in each magazine that could be appealing to men of many different ages, mostly in the middle to upper income groups.  Some things about Details quickly set it apart from other magazines. One difference is the ""departments"". Most magazines have departments, but instead of talking about the same things each month, these departments vary in their content (the only exceptions being ""Know- Tell"" and the ""The Details""). Each one contains similar stories from one month to the next, but with different subtitles, helping to make each issue a little fresher than it would otherwise be.  As far as the writing goes, Details offers a great deal of diversity for a magazine. Yes, it is generally focused on things of interest to men, but it covers a very broad range of interests. You can find articles in this magazine on such diverse topics as the death penalty, raising kids, buying a new coat, setting up an internet business, breaking up with a girlfriend, or purchasing the best vodka. There are articles geared toward single men and married men, as well as younger men and middle- aged men.  I like some of the articles found here but there is one problem I have with the writing in Details. It is common to find eye- catching headlines on the cover of Details that tempt you to find out more. This is nothing new and most every magazine does this. But the problem is that many of these eye- popping stories fail to keep you amazed when you read them. Take for example an article in a recent issue. On the front, it reads ""Is Your Wife a Bad Mom""? It sound like an engaging, intellectual read. But once you find the article and take in its 1,000+ words, you quickly discover that there is little or no substance. Basically, it simply tells men that accusing your wife of being a bad mom is a risky undertaking that could hurt her feelings. That is it. There is no intellectual analysis or quotes from studies; only the bottom line conclusion that mothers generally don't like to be called incompetent by their husbands. Other headlining articles in this magazine lead to similar disappointment.  The writing in this magazine is on the edge and very blunt. It is common to find several four- letter words in many of the articles and while this doesn't bother me at all, I know that some readers will consider it too raw, too edgy, and too explicit. Details writers have no problem telling it like it is, and this can be both good and bad depending on one's perspective.  Besides the language, some parts of this magazine could offend certain readers; namely the ""Anthropology"" page at the end. This closing ""article"" is meant to be humorous, but some readers will not see it that way. I don't know if it has always been this way, but what ""Anthropology"" does is show a person or multiple people and then asks the question ""Gay or ______"". For example, I have seen titles like ""Gay or Best Friends?"", ""Gay or Cowboy?"", ""Gay or Neo Punk Rocker?"", and others. With each of these, there is a diagram of sorts with arrows pointing to different clothing and bodily features and short comments about each one. Basically, it is asking you to think about these different attributes of the person or people in the picture and then decide if the way they dress, look, and act makes them gay. I find this silly and immature, but I can see how some readers would find it insulting. I don't know if Details has always done this or if the Anthropology page has been different in the past. But this is how it has been in every issue I have read and it needs to be changed.  Advertisements claim about sixty percent of the pages in each issue of this magazine. They cover products like liquor, cars, electronics, cigarettes, fragrance, etc. Even though this magazine covers lots of different things, the item most often featured in the advertisements is clothing. The magazine seems to have a penchant for high fashion and it devotes more pages to expensive clothing than anything else. And each issue often has its own unique smell, thanks to all of the cologne samples. You can flip through the pages and find several samples in each issue, with many of the latest and trendiest scents from the biggest names in cologne.  Overall, I am torn between liking or not liking Details Magazine. I like some of the articles on food, drink, politics and the like. But I don't necessarily like the shallow fluff that is often substituted for an intellectual discussion and I can understand how some readers would find certain aspects of this magazine insulting. This magazine is deserving of only about two and one- half stars which I will round up to three stars and give a small recommendation. Some will like this magazine and some will not. It's all a matter of what you like to read about and whether or not you can handle a magazine that pushes the envelope.",Give Me the Details,1142380800,98.0,,,internet product go husband risky focus arrow understand headline round cover edge subtitle shallow topic cigarette study edgy rocker namely many disappointment buying different contains age quote range read read star electronics substance picture department business tell far recent yes lifestyles cowboy mildly quickly undertake magazine besides mom explicit vodka would bad sample mother late young writer girlfriend blunt sound main penalty set overall two meant immature devote comment dress call eye year analysis example do every small know give liquor name person clothe anthropology exception like could sixty cologne four offend amaze question toward apart car group nothing claim several diverse engage problem envelope unique raise intellectual friend see one conclusion death page new broad point diagram trendiest gear help certain reader raw various married etc group see discussion flip bottom fashion story big vary asks bother need fragrance old though featured humorous diversity always three recommendation close hurt fresher fail offer generally simply interest half write think expensive others next lots income upper tell seem take act bodily neo middle purchasing find interesting little thing tear silly aim deal similar good consider set single scent politics talk tempt whether attribute common mostly language part discover front kid make one's catching capture word interest best often article look well difference pop insult month title push find ask way feeling fluff percent men depend thanks smell age deserve high gay great multiple magazine accuse wife handle line appeal letter food break change issue article drink perspective necessarily tell otherwise male advertisement page incompetent item coat sort even headline matter lead else basically aspects short like instead penchant cover punk content end substitute make detail people past decide show anything keep feature
8,8,4,False,"09 24, 2007",A3JPFWKS83R49V,B00005N7P0,Bryan Carey,"Maximum PC is a magazine for electronics freaks, offering many different articles about electronics; how to buy them, how to repair them, how to get the most out of them, and how best to replace them. This magazine is aimed in one primary direction: Making the most out of the electronic devices available. This is accomplished through the many instructional articles, how to guides, and question and answer sessions.  When Maximum PC isn't offering words of wisdom on ways to improve your life with electronics, the magazine is usually offering reviews of new products. The reviews section is one of the largest parts of each issue and while it does a nice job bringing new products to the forefront, the reviews are often less than stellar. Rather than analyze a few products in- depth, Maximum PC instead prefers to offer shorter reviews of many products. This part of the magazine seems more concerned with quantity than quality, in contrast to most of the remainder of the magazine.  One thing about Maximum PC that isn't to my liking is the technical nature of many articles. Maximum PC likes to get to the root of things (literally), and it is common to find articles talking about circuits, memory, and other boring subjects. This is fine for those who take their technology to the extremes, but I have no interest in learning about the inter-workings of the wiring inside my personal computer or the electronic pulses that cause my printer to respond on queue. This is a little too much technology for me, but I know there are some readers who will relish the depths that Maximum PC goes to when it strips down electronic devices into their component parts.  Overall, Maximum PC is a pretty good electronics magazine for young and middle- aged adults. It loses me from time to time when it gets overly technical, but it still ranks as a good magazine about electronics. The numerous question and answer sessions, the educational articles, and the product reviews make this a magazine worth reading.",Maximizing Electronics Enjoyment,1190592000,2.0,,,know aim product extremes nice stellar like go read much find prefers component lose freak way section interest maximum electronic fine usually adults product question young job strip get nature pulse many thing guide pc seem take queue make contrast different device rank instructional direction technology learn magazine age less middle quantity electronics little thing relish technical one depth offer replace part new issue quality memory answer computer bring remainder primary repair inter-workings educational session circuit good accomplish worth talk offer respond boring depth printer time improve wiring reader common part buy literally still short inside root concern analyze subject numerous make forefront large review word like best wisdom overall pretty often article instead life cause available overly get personal rather
9,9,1,False,"03 9, 2004",A5RHZE7B8SV5Q,B00005N7P0,gorillazfan249,"Maximum PC's slogan is Maximum PC. Minimum BS. Well I think they should make that, Half PC. Half BS. If you buy your subscription on here, you're not getting the CD, which is obviously, the whole essence of the mag. The CD is done just like PC Gamer, but it just has Maximum PC on there, instead of PC Gamer, and this also means, if your PCG CD's won't auto-load, neither will the MPC ones. Since I can't see what the price is for the subscription on here, I cant tell if you're paying the same amount on here for the no CD sub, as you would with the CD. CD sub. price is $29.95. You can obviously look at the top of the page, and see what the price is. The one good thing they have is the Head 2 Head thing they have in the beginning, where they pit two products against each other. This month it was Yahoo! Mail vs. Hotmail. So this really isn't a great magazine, nor a good PC magazine (no pun). If you want a real independent magazine, go with PC Magazine. (And for more on that, read my review...if it ever gets posted).",More like half and half PC and BS.,1078790400,5.0,,,product month mag amount head like ever sub maximum half think one independent post can't cd's auto-load thing pc review...if great mean real obviously magazine subscription read really neither one page tell whole mail yahoo gamer good pun pit price slogan want pcg cant would top buy cd also pay see essence mpc make hotmail begin since two minimum pc's instead look go well get do get
