,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image,review_clean
0,74373,5,True,"09 16, 2015",AHOJEEMOIKMCR,B000OR86WS,David Obergoenner,"Ok...I AM an ""old man"". I've been playing bass since the days when all we could get were flat-wound strings in the early 60's. Back then, the strings were mostly pretty dead and lifeless sounding, with poor sustain, and uneven tones.  I was happy to switch to round-wounds when they became available.  Thing certainly have changed.  These Chromes sound really good, and different in some important ways.  They have a nice added fullness in the midrange (relative to round-wounds) that I really love, and have missed with round-wounds, but the nice thing is, they do NOT sound dead like the flats of old.  Been there, done that.  The notes are all even, the sustain is as good as it was with round-wounds.  I have about 14 basses in my collection.  There will always be a place for round-wounds on some of my basses for some kinds of tunes...everyone should have some variety, but I'm quite happy to convert at least some of them to these chromes.  It's nice to have quiet slides back on some of my basses...like the old days in that respect. Oh, and my fingers sure thank me after several hours of playing complex licks. Smooth as butter!  BTW, I went with the lighter gauge (40-95) of the Chromes.  Don't be fooled by this...they sound plenty fat and full at the low-end, are easier on the fingers, and require less tension on the neck than the heavier gauges.  (check on the tension chart supplied by the maker...they are about the same or lower than some round-wounds)","Not your ""old mans"" flat-wounds",1442361600,9.0,,,chrome nice heavy supply maker...they i've quite complex smooth like basses...like hour way could uneven bass flat-wound convert btw least finger get important several poor thing certainly gauge fat sure different note this...they fullness oh bass go happy less sustain really dead love change back light ok...i place chart fool added lifeless slide easier good round-wounds flat day collection full variety early neck butter switch mostly lick tone check kind miss even thank become plenty midrange gauge man sound require play i'm quiet since old tension sound tunes...everyone low-end respect available always do relative low string pretty
1,112998,5,True,"04 6, 2015",A3S0OEAKMTGWS4,B002UAF1PW,JK,"Very versatile. Surprisingly heavy duty casing. I use it mostly on my tube amp's clean channel for 60s style/Beatles Revolution grit, saving the dirty channel for metal-like distortion tones. It super-saturates the dirty channel for extra feedback or leads.",How can you go wrong at this price?,1428278400,,,,feedback lead duty revolution versatile grit use amp's dirty clean save channel extra surprisingly tube mostly style/beatles tone heavy super-saturates case distortion metal-like
2,202903,5,True,"03 22, 2017",A2JW1S8KXQV2FL,B0002F53XC,Karen Robertson,used them before -love it,Five Stars,1490140800,,{'Size:': ' 13-inch'},,love use
3,174313,3,False,"12 1, 2016",A1VGF9OHPS19D5,B00MVC4XEO,marty,"I have the gooseneck version of this that suffers from the same issue.  I like the price of this stand and it definitely works fine.  My issue is that the mic clip is not tight on the stand, meaning it spins if the xlr cable attached to your mic gets pulled and you will lose your mic positioning.  Not an issue if you aren't moving around a lot, but in my home studio i'm constantly getting up and sitting or moving across the room to adjust things and often knock this particular stand off its positioning if i am not careful.",Decent but mic clip is not stationary,1480550400,,,,gooseneck tight clip home definitely knock careful sit constantly i'm xlr price cable around move studio often across version like position attach particular thing mic suffers adjust get fine spin issue get pull lot work lose room meaning stand
4,165429,3,True,"02 3, 2015",A2VUUMNXR50N8W,B00IN761G4,Louis Fudale,"A little foward heavy for me . Although they sound nice ( low end) and brings out more attack. I Just didn,t like the feel.",Although they sound nice ( low end) and brings out more attack,1422921600,,,,"low nice sound feel like although end foward little brings heavy didn,t attack"
5,224326,5,True,"03 3, 2018",A3HJ2H9UHPCMJP,B00I3ELMX4,JPotter,Fast shipping fits perfect on cases and amps comes with hardware... And Genuine Fender parts,Genuine...,1520035200,,,,case hardware genuine perfect come fit ship fender part amp fast
6,129162,4,True,"03 21, 2016",A2QQJXNX4IIDU,B005HN20J4,Design Dude,"Not the most versatile pedal, but a very unique and fun sound to explore. I wouldn't say it's a ""one trick pony"" since there are varying tones you can get from the pedal, though I'm confused why they don't have a regular reverb tone option. Sure you can buy a regular reverb pedal in addition to this, but it would be much more convenient having both in one pedal. That's the only reason I'm not giving a 5 star review. Would I buy this again? Yes.",Really great sound & works great with delay pedal. I just wish you can achieve a regular reverb in addition to intended sound.,1458518400,,{'style:': ' Afterneath Delay/Reverb'},,regular reverb get option reason yes sound explore versatile much sure addition star unique i'm since pony varying though would fun give tone that's tone buy one say convenient confuse trick pedal review
7,220370,5,True,"04 17, 2018",A3AHELI0GWTB63,B009OMTVAA,Larry Hubbard,It doesn't fit as tight as I had hoped.,Five Stars,1523923200,,,,tight fit hop
8,69317,5,True,"11 14, 2013",A2DKLC2FJTY9OI,B000J4I9VO,J English,Old school metronome - wind it up and practice until you run out of wind. Like all the temp markings. Plastic but sturdy.,Old school solid metronome for home practicing.,1384387200,,,,plastic sturdy metronome temp school old like marking wind run practice
9,223476,5,True,"02 12, 2018",A36WB2LRRV92DQ,B00G4TWSKG,Amazon Customer,I put off buying this because I thought it might be a little pricey. Went on sale for $10 off so I pulled the trigger. Once I received it I realized it was worth the regular price.,I put off buying this because I thought it might ...,1518393600,,,,regular pricey worth buy thought price go sale trigger put little might pull receive realize
10,78285,5,True,"01 14, 2017",A3OBLWAY1W51BD,B000TGSM6E,Amazon Customer,As a bass player I know they to be a bit heavy. This product makes the experience more pleasant.,Five Stars,1484352000,,{'Color:': ' Black'},,player know product bit make bass pleasant experience heavy
11,63166,4,True,"02 3, 2014",AIVB0DHBQZPV,B000CCMWVG,MusicMom,Take care to order the correct size. This is way to large for my Lyle classical guitar and Gibson. Nice quality.,Guardian guitar case,1391385600,,,,guitar nice large take classical gibson way correct size order quality care lyle
12,103248,5,True,"05 28, 2014",A2JBOT2UB79PLM,B001LNO9I4,Alli-O,"The product arrived on time and in good shape.  As advertised, it seems identical to the hardshell case, but with the hardshell plastic replaced by cordura.  The case is surprisingly rigid.  My Gibson Les Paul Studio fits snugly, and the zipper closes smoothly.  It has the usual storage compartment under the neck that'll hold a tuner and a capo and a strap, if it's folded enough times, extra strings...whatever.  The straps are comfortable, and the entire package is practically weightless.  Recommended without reservation.  I'd be willing to check it on a nonstop flight if it had an Epiphone in there instead ofa Gibson.",Just what one expects from SKB.,1401235200,,{'Color:': ' Black'},,smoothly reservation plastic paul storage epiphone capo snugly ofa extra product usual advertise time hold rigid shape enough i'd le seem recommended gibson compartment surprisingly entire package good fold comfortable strings...whatever studio neck tuner time flight fit check practically weightless zipper strap arrive willing identical case hardshell close instead without strap cordura nonstop replace
13,122936,5,True,"10 21, 2016",A1VHLHX9UYU17M,B004XNK7AI,Frank,Works fine and easy to use,Nice Guitar tuner,1477008000,,{'Color:': ' Black - SN-5'},,fine use work easy
14,174551,5,True,"09 23, 2015",A2CCN5Y8X6JFAA,B00MXUJ394,Bikerjoe 66,item received on time and as described,Five Stars,1442966400,,{'Color:': ' 0'},,time described item receive
15,96933,5,True,"11 7, 2017",A3CMXRFIWQCBKQ,B00186HCX8,kodiakcowboy,It wouldn't really work w the strap buttons on my Martin guitar. Have to buy deeper ones to hook this to.,Requires deep strap buttons,1510012800,,{'Color:': ' Black Leather'},,guitar button deeper work martin really buy hook one strap
16,181021,5,True,"01 31, 2018",A2CIX4VF60QCZK,B00SY1UXD6,Pierre Ross,I nice custom touch for your Fret Guru!,Worth it!,1517356800,,,,guru touch nice fret custom
17,36143,4,True,"10 30, 2016",A1S7B5FHHMF4NP,B0002GX5NG,Ben Britt,"It's a gooseneck, not much to say. It enables a mic to mount some distance/angle away from its stand. Threads are good and it seems well constructed. It does support my Shure SM58 well without sagging. Perhaps the longer ones have a problem with this weight as some have posted.","It's a short gooseneck, what can I say?",1477785600,2.0,{'Color:': ' Chrome - 6inch'},,gooseneck away good distance/angle seem much problem thread mount enables sag long weight without perhaps construct mic well say shure one post support stand
18,119586,1,True,"04 15, 2012",A1VU51HBF6KIYB,B004D1ZBZQ,Amazon Customer,"I gave this one star because I could not give it zerow. This cord was bad upon arivel, and was usless within a week.",worthless,1334448000,,{'Size:': ' 10 FOOT MOLDED END'},,give zerow within arivel star cord upon bad one could week usless give
