,Unnamed: 0,overall,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style,image,review_clean
0,717835,5,,True,"01 12, 2017",A1J58ITBXMUMJ0,B01G6EGE9Y,PurrCat,"very cute. liked them a lot, and they were so affordable.",liked them a lot,1484179200,,,like lot affordable cute
1,571166,5,,True,"07 4, 2017",AZ7G4JBXO560Q,B00LLIG74I,Carpetbagger,When I originally installed this my gas burners wouldn't get hot enough to cook. I figured that during manufacturing some debris may have gotten into the valve. I took a pressurized air can and blew out all of the orafices and reconnected it. It now works perfectly.,Great to keep from running out of gas at an in opportune time.,1499126400,,,pressurize get orafices gas enough air debris take perfectly get valve cook burner blow instal originally reconnected may work figure hot manufacturing
2,744289,5,,True,"03 5, 2018",A3LOCF4CTJ0Y3I,B0020GYT54,Larry Marks,Good,Five Stars,1520208000,{'Style:': ' CX900RE'},,good
3,9912,5,,True,"07 24, 2014",A8VE7AJZE4TA1,B00004R9VV,Karen,The moths almost catch fire and turn red when they get zapped. Can smell them frying....,Strong zapper.,1406160000,{'Size:': ' 1/2-Acre Coverage'},,red frying get catch turn smell moth almost fire zap
4,573915,3,,False,"08 24, 2016",A3U98OZEN7OCO6,B00M0ESIVW,pmthomas,"Not enough pressure if you are on a well pump.  I was concerned about that but purchased anyway.  Unless you're on city pressure, I wouldn't expect too much.",Under-powered Blast,1471996800,{'Size:': ' 6-Inch'},,concerned enough city expect much purchase unless well pressure anyway pump
5,680093,5,,True,"07 5, 2017",A2UAP79S67P085,B0191QWWI6,Amie,"Love that the perches are individually weight controlled, and the low cover and single perch means the starlings won't get close to jam their beaks in and offset the weight mechanism.  It's a great solution!  I have mine on a hook in the middle of the yard, so I can't speak to it's squirrel abilities, though - I imagine it's fab!",No More Starlings!,1499212800,{'Color:': ' Green'},,can't get low speak single perch great ability offset mean mine jam weight cover middle though controlled perch imagine mechanism squirrel solution close hook love fab yard beak individually starling
6,688292,5,,True,"05 15, 2017",A19OK55BZ7HU2G,B01AIPFAOM,Eugene,works,Five Stars,1494806400,"{'Item Package Quantity:': ' 50', 'Package Quantity:': ' 50'}",,work
7,469249,5,,True,"06 19, 2016",A3LXOMFWQVCZHW,B00C1LWE32,Ethel M Byers,"So easy to use, place on grill, when finished a little soap and water, wipes off instantly, no scrubbing needed.",Grill mats,1466294400,,,soap use grill scrub finish little instantly easy need water place wipe
8,708419,5,,True,"05 16, 2017",A2PRXOOQ90RLLQ,B01EEXJP4A,LMac,Had no trouble sprouting seeds. Just transplanted them to the garden walkway. Excited to see them spread...,Great seed,1494892800,{'Size:': ' DWARF Creeping Thyme - Pkt. Size'},,walkway trouble sprout spread see garden transplant excited seed
9,427790,4,,False,"03 25, 2013",A26LD9FQHTM8ZH,B008U4R57E,OlyNomad,"This chair looks in person exactly like it does in the product picture.  It is a nice neutral and natural looking color so it blends in with many decors.  I think the ottoman is a must with it if you are going to sit on it for long periods of time and want to be comfortable. The chair is pretty solid in construction and is sturdy, I'm 6'1"" and pushing 240 and it holds me just fine.  I worry the cushions will get dirty over time where spot-cleaning isn't going to cut it, but time will tell on that. Looks really nice on the patio.",Strathwood Griffen Wicker Armless Chair,1364169600,,,spot-cleaning cut look get nice go many sit sturdy patio person chair comfortable solid decor color construction dirty i'm natural must want worry like time long cushion neutral ottoman blend hold really picture push fine period exactly product think tell look pretty
