,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style,vote,image,review_clean
0,915678,5,True,"10 23, 2017",A35IDGYIST7CLI,B00339C3P0,Sarah,Awesome chair! Really comfy and easy to set up. I love the pocket cooler! I'm buying more!!,Great chair!!,1508716800,{'Color:': ' Black'},,,awesome buying chair love i'm cooler pocket set really easy comfy
1,2462578,5,True,"03 31, 2017",A3SR4AWU0YDZ37,B01FXDHY66,H. Jeffrey,"Excellent design and build quality. These are slightly different from the original Fitbit One clips and from other off-brand replacements I've previously purchased. The clip is a little stiffer and has a different cap design, which seems like it should make each one last longer. The clip holds the One a bit more snugly than previous clips I've had.  I like the color variety and variation. These clips are always going to get worn out at some point from use, so I try to maximize that time and have plenty of backups. These will keep me stocked for quite a while! Very good value.",Great value and colors,1490918400,,,,maximize fitbit i've use quite longer like off-brand value snugly try last clip get backups seem slightly color different clip little one quality original replacement point go good worn variation design bit stiff variety time purchase hold plenty cap make stocked build previous excellent previously always keep
2,106259,1,True,"05 29, 2016",AG192POLBN26K,B000BTJUPQ,Dr. David E. Chance,"Defective bow that shoots arrows upwards only.  I would not recommend bow to anyone due to problems that were found in shooting issues.  The arrow rest will not allow the proper alignment for shooting .  My son-in-law who is well versed in the shooting recurve bows found the bow and arrows, due to being defective, impossible to shoot with any decency because of the arrow rest.",Defective Bow not worth buying,1464480000,{'Color:': ' Pink'},,,defective problem decency anyone due allow bow arrow alignment bow recurve arrow find would recommend shoot impossible shoot issue upwards well son-in-law proper shooting verse rest
3,879965,5,True,"04 6, 2015",A1Y0UVFIFJQ3UN,B002MGBEZ0,D. Brown,"I am in no way a yoga expert. I am a beginner who first started on borrowed mats. When I decided to purchase my own, my first stop was a Target I was in, their mats seemed fine, but I wanted to do some research first.  One thing I knew going in was that I wanted the most padding possible because I'm sensitive to hard surfaces when doing many yoga positions and exercises (especially anything involving balancing on my tush and/or tailbone). Many reviews here say this mat is thicker than many others. That, as well as the average five star review and the non-slip extra were reasons for my purchase.  Upon first opening it, the mat seemed shockingly thin; it was certainly thinner than my expectations based on the previous mats I've used which seemed to be lesser quality. But I stepped on, tried a few of my problematic poses and I was pleasantly surprised. Perhaps this mat is just as thick as my borrowed mats but something about the material makes it not flatten under my weight as much as previous mats. I'm just hoping that this doesn't mean my borrowed mats used to perform the same way but flattened overtime, and so I hope it doesn't happen with this mat as well. Time will tell.  There's a definite and strong ""direct off the factory machine"" smell as soon as you break open the cellophane. I'm not worried; I'm certain that smell will go away. I actually like it; it's the scent of guarantee that it's brand-new. :)  The texture feels similar to the previous mats I tried, with just a bit more rigidness to it. This is not bad; it's not uncomfortable and it is not rough. It helps me feel like it has extra grip so I won't slip on it, and it won't slip along the floor.  I purchased the Earth color, and it looks just as it does in the photograph. Obviously I can't say this about the other colors as I have no in person view of them.  I found it interesting how it was rolled up thinking that because the bottom side would lay against the top side when olled up, it had to be rolled the opposite way. Of course, no matter which direction you roll it, the top will make contact with the underside. Oops. I now believe the purpose of the pre-rolled direction is so the mat curves towards the floor when laid out so as not up to curl up towards the ceiling.  For some reason I thought this came with a carrying case, it does not. Do they sell yoga mats cases by themselves? (Not including a caring case is not enough to take away a star in the review.)  So, aside from the not included holder I'm pretty happy with this product so far. Of course I've just received it and haven't spent extensive time on it, I try to update my reviews in cases like this with how the product has been holding up over time.",I Am a Beginner. I Like This.,1428278400,{'Color:': ' Earth'},37.0,['https://images-na.ssl-images-amazon.com/images/I/71mbkf4RdNL._SY88.jpg'],surprised case texture look perform holder away think tailbone hard contact curl much view and/or person i've think star break scent way like come step non-slip extra opposite earth smell start average fine actually product try shockingly others mat open beginner pose can't spend many curve thing towards pad open certainly enough extensive take reason roll something direct feel color sell surface want feel color direction yoga obviously stop involve factory underside brand-new find seem interesting balance thick hope floor slip upon course one include pre-rolled exercise tell quality photograph aside less rough possible tush similar oops help far material soon reason hold go believe flatten use machine first target pleasantly bit update sensitive thin weight certain olled decided time purchase perhaps purchase especially thicker would carry care top bad worried position thinner ceiling receive five matter roll bottom expert lay purpose happy overtime borrow side guarantee problematic make hop case definite rigidness review i'm flatten laid along mean previous try mat include make there's happen know go well research say base uncomfortable strong cellophane anything grip expectation pretty review
4,1159346,5,True,"12 9, 2014",A2CG68FDGEWHYE,B005CR6OEM,dstinhi,I grew up wearing briefs when I bought my first pair of Under Armor shorts I was hooked they are very comfortable. I tried some other brands as well but Under Armor is my choice. I have thrown all my other underwear away because my UA's are so comfortable,... Under Armor shorts I was hooked they are very comfortable. I tried some other brands as well but ...,1418083200,"{'Size:': ' Large', 'Color:': ' True Grey Heather/Red'}",,,throw away wear bought choice comfortable first armor underwear brief try ua's hooked short pair well brand grow
5,195212,5,True,"01 2, 2014",A2VGKEZRRAQ8,B000JQJS6W,Amazon Customer,I've only worn it a couple of times but I think it's a handsome watch. I have two other Invicta's and this one is just as nice as the others. I was curious how well the bezel would work in such a modestly priced watch and I'm happy to report it turns smoothly with just right amount of resistance. I also like the magnifier for the date. Makes it easier for these old eyes to see.,Invicta Diver,1388620800,,,,smoothly nice modestly price easier curious worn handsome couple i've time amount work i'm eye invicta's two old like watch happy date would make bezel one well turn also resistance right magnifier think others see report
6,594517,5,True,"12 11, 2012",A2JPEX3KT3AB0T,B0016JG56C,John N. Doggett,I love these little suckers.  They give you just the right height for fairway woods and hybrids.  I love the fact that I now know that I will always tee up the ball at the same height.  That is a critical part of being able to strike the ball the same way on every tee box.,Perfect for fairway woods and hybrids,1355184000,{'Size:': ' 1 3/4-Inch'},,,give know able height way critical strike box ball little wood fact sucker always tee love part hybrid every right fairway
7,44743,5,True,"12 20, 2015",A31P8IYKZ5ZB7B,B0006YXWN2,C.R.H.,very nice tool. works very well.,Five Stars,1450569600,,,,well nice work tool
8,2033286,5,True,"01 12, 2016",A3T3DXMV8RZ20R,B00S6UNBFM,D,"First I felt this may be a bit heavy, then I realized the advantages this offers.  This works great for blocking the wind as well as assisting with controlling the fire when the wind is blowing it about.  Used this with the Coghlans 9560 Emergency Stove and small sticks.  Decreases cooking time increases control of wind.  Also decreases the amount of fuel (sticks) needed.  Works as a reflector for the heat this little stove did create.  Used this tonight in the snow flurries.  May have to order one of these for my son.  Love this.","Increases control: decrease wind, decrease fuel consumption, increases reflected heat.",1452556800,{'Color:': ' 10 Plate'},5.0,,stave snow create fuel coghlans increase blow use heat tonight advantage great control amount first flurry bit cook fire time order wind reflector son block offer little decrease stick heavy emergency well one felt also love need may work small realize control assist
9,2157220,5,True,"12 8, 2016",A2729AJFHWD89G,B00YG0H0WG,Leah,"Thankfully haven't had to use this yet but it's really easy to take on/off keys without having to pull out the ring, which is nice. Looks pretty!",... haven't had to use this yet but it's really easy to take on/off keys without having to pull out ...,1481155200,,,,look pull nice take key use on/off yet without ring really thankfully easy pretty
