,Unnamed: 0,overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image,review_clean
0,1529740,5,,False,"07 13, 2016",ARPB88E6F2MFR,B01DGECUI6,,Redz,"For my two boys that never played hockey in their lives, this is their go to game every night after dinner. They actually want to play together each and every night and are excited to do so! Yes, 5 stars from this very happy mom!!! As for the review of the actual sticks themselves, they look flimsy but have held up to some pretty big abuse this week from a 10 and 7 year old. The ball is very squeezable (at first look, I thought it was a dog ball, but without the squeaker) but with the combination design of superman and batman, my son's think it's pretty cool. I wouldn't recommend leaving this set outdoors. The outer plastic wrap (superman/ batman graphics) won't stay on very long in weather. The ball could easily be prone to dry-rot and mold. The sticks are plastic on plastic, if you want to bend the stick in half it would be easy to do. None the less, my boys love this set and as long as they take care of it, I see the set easily lasting for two or three years.",great driveway play!,1468368000,,squeaker hold hockey plastic play think none excite squeezable ball recommend graphic prone abuse could week wrap half actually think night take big leave happy long less stars bend outdoors play son's love yes superman boy outer together dry-rot first design want cool batman mom would actual flimsy dog stick game last see easy easily mold year never dinner life stick combination set two old without look weather stay go year three every care pretty review
1,901857,5,,True,"02 7, 2014",A3FP4ULM873Q8X,B00FDZJD8M,,UtahGrandma,"MY LITTLE 3 YEAR OLD GRANDDAUGHTER IS PRESENTLY A HUGE FAN OF ""TOY STORY"" CHARACTERS & WAS OVER-THE-TOP THRILLED TO GET THIS AS A SURPRISE PKG FROM HER NANA!  RECOMMENDED FOR SURE!",THRILLED!,1391731200,,get over-the-top recommended granddaughter sure pkg character nana story old surprise huge thrill little year fan presently toy
2,135960,4,,True,"10 7, 2014",APZV5S2E1G43A,B000K3A1JW,{'Package Quantity:': ' 1'},C. Booth,"My 95 year-old-mother works these and is very pleased with them.  I got her a foam core board so she can sit in her wheel chair and work them on her bed.  When I got them, I told her that the European and Asian maps had changed a lot since communism fell.  She said, ""It did?""  ""And the countries are free now?""  She remembers WWII and everything before it, but not much after it.  She was delighted.  It was fun to work these with her.  I especially like that almost all of the countries have a correctly shaped form.",Good times,1412640000,,map communism sit free much chair work wheel since remembers almost european like year-old-mother correctly country say wwii get board fun especially form bed please everything delight shaped tell foam change lot core work fell asian
3,418966,5,,True,"07 19, 2014",A2FBFEUQ5DAF0M,B003DZ35GK,,Dieter,good,Five Stars,1405728000,,good
4,770949,5,,True,"03 9, 2016",A2J4VE7AJTYRHM,B00C0EB9EU,,Amazon Customer,Amazing! 5/5!,Five Stars,1457481600,,amaze
5,233682,5,,True,"03 17, 2017",A3TC05XGA5JT4M,B0016BFYVM,,Amazon Customer,So real it's scary,Real lifelike,1489708800,,scary real
6,51604,5,3.0,True,"02 9, 2017",A2Y88ZKJW4FLLB,B0000A9XZ2,,Jenny,"My two yr old loves this. It's a great size for indoors, it comes with a plastic mat to catch extra sand and everything else in the picture. The box it comes in is a nice storage place to put the sand box in when not in use it has a Velcro opening.",Great for indoors,1486598400,,else nice indoors plastic opening storage great use sand come two old yr size love mat box extra catch put everything picture velcro place
7,1629119,5,,True,"08 8, 2017",A8W09LSHO8D12,B004XCUQG4,,Kevin S.,Can really screw up decks with not many creatures. Want to completely destroy your opponent's library? This + Sadistic Sacrament = Pure Evil,Best Sweeper in Magic,1502150400,,many want opponent's creature screw sacrament sadistic really evil library completely pure destroy deck
8,1141274,3,,True,"12 6, 2016",ADZ5001R6AFA0,B00N886CV2,,martin reyna,Ok for the price.,Three Stars,1480982400,,price ok
9,609922,5,,True,"12 5, 2014",A20NW4PI3FY9XR,B0077QSNU4,,Patricia E. Laderoute,Another large box and very well packaged - very pleased with delivery time and item - bigger and better than imagined!!  Will be very pleased at Christmas for grandson,Another large box and very well packaged - very pleased with delivery time and item - bigger and better ...,1417737600,,large imagine christmas big grandson good time box item please well another package delivery
