,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image,review_clean
0,259249,5,True,"11 22, 2014",A2H8D97YEG7YL9,B005WG2WRQ,Chengiz,"This sleeves works great with my slim ps vita, you can add a game or two plus a sd in the front pocket.",This sleeves works great with my slim ps vita,1416614400,,,,sleeve plus great pocket two slim add game sd vita work front
1,15181,5,False,"01 17, 2001",A22DXI3J0C8PIT,B00004SWLT,Matthew Gomez,"Banjo-Tooie is, without a doubt, one of the best games to-date on the N64.  Isn't amazing that two games, Banjo-Tooie and The Legend of Zelda: Majora's Mask, of great graphics, play value, and such, came out around the same time?  I have both and both are two of the best games ever!  For Banjo-Tooie, the graphics are eye-popping, and the amazing fact is that the game doesn't even use the Expansion Pak, even though the developers could have!  The world's are huge and engrossing, and while the original Banjo-Kazooie only had the main game, Banjo-Tooie also has the great reply value and multi-player, which allows you to play the best mini-games of the main game again, and square off with your friends in these same mini-games.  What else can I say, but Banjo-Tooie is a must for any N64 system.  While your looking around, look at The Legend of Zelda: Majora's Mask.  Both of these games give new life into what I believe is still the best system (heck the Playstation II doesn't even have any good games coming out) out there, and will stay that way until Nintendo's GameCube.",Banjo-Tooie is even better than the original!,979689600,5.0,,,give gamecube use way legend come ever value heck graphic could expansion great reply amaze must huge nintendo's friend pak one fact play square new to-date original engross ii developer believe good mini-games zelda banjo-tooie world's game time banjo-kazooie majora's game also still mask multi-player even else playstation main around best two doubt without come look though system life eye-popping allows stay say look
2,56810,4,False,"12 9, 2004",A387GJKV8S6BHV,B00028S9OY,David Zampino Jr.,"This game was an almost exact copy of blue and red version. The biggest differance in the first part of the game is tha attacks, pokemon, and trainer's names. Until you get towards the end it can get verrrrrry tiring. Then Bill will show up and start giving you rides to the hidden islands where you can get every singl pokemon made! Its new wireless adapter makes multiplayer gaming easier and more fun. It will give you over 20 hours of fun gameplay that doesn't end until you cacth'em all.",A Good Game That Has a Lot of Potential,1102550400,,,,give trainer's exact get adapter multiplayer easy big towards hide names rid island first pokemon copy tire almost version gameplay red tha verrrrrry game end fun hour make differance blue give wireless bill attack game show part new singl every make start cacth'em
3,195525,5,False,"12 28, 2013",A2AK59AGLZST3N,B002BS47YE,Richard A. Rossi,"This game is a lot like the first without the annoying, overwhelming end.  You fight both humans and aliens in this game.  It does go from checkpoint to checkpoint, but it's a somewhat open environment in each level.  There are lots of weapons and lots of fun ways to defeat opponents.  They have made cloaking and armor into buttons for the PC which I much prefer.  For the $11 I paid it was well worth it for the fun I had.  The difficulty is about right for most players I would suspect without any parts that are so difficult they are too frustrating.",Great sequel to the first,1388188800,,{'Format:': ' Video Game'},,checkpoint environment opponent frustrate difficult alien pc button much worth weapon first armor somewhat suspect like cloak without difficulty would end fun fight defeat level way overwhelm prefer player part go human pay well game right lot annoy open make lot
4,222931,5,True,"01 18, 2013",A24P34060QS1F4,B0045ZIEPY,smitty jones,"This game became one of my favorite games of all time. I played the second one first and then this one. I was put off by the slow combat, but after playing the game I realized I was an idiot for passing this game.  The main game itself usually takes somewhere around 25 hours, and with all the DLC it adds about 10 more. Has all DLC on disk.",Became one of my favorites,1358467200,,{'Platform:': ' PlayStation 3'},,pass second favorite disk combat play main idiot dlc play first around game add time take put hour somewhere slow one game usually become realized
5,263664,1,True,"03 3, 2013",A2ZZAHZHH0I0K5,B006JKASCK,Derek G.,"this is waaaaaay over priced. I cant believe buying it for $80 was a good deal! that's the scam of Sony. I love em, but they charge way too much for this stuff. we already spend $200+ on the system itself! but this is barely enough to hold my PS1, PSP, & Vita games. not to mention Music. I have 5GB left. and keep in mind that's maybe half of all my ps1/psp games. you cant switch memory card while the system is powered on. so keeping multiple cards can be a pain. its best to get this size if you are a serious gamer with a lot of digital content.",serious gamers required.,1362268800,6.0,{'Edition:': ' 32 GB'},,price card much maybe way half sony hold get enough barely buy multiple already serious pain size music leave charge keep that's vita love lot psp memory deal believe gamer good waaaaaay card digital stuff game cant switch mind spend em best scam power mention system content keep
6,393948,5,True,"09 10, 2016",AY3R5SM3VA6DK,B00UUROWWK,Alan,works great and its very easy to install.,perfect for DIY arcade cabinet,1473465600,,,,great install work easy
7,32862,5,False,"07 11, 2002",A3VU8VZ0JVHOOC,B0000640A9,Amazon Customer,"The first game that involved four players fighting against creatures of varied types with characters of varied strengths and weaknesses was Gauntlet for the NES back in 1987. Fast-forward to 2002 and the Xbox is screaming for a decent four-player game that uses the same basic principle that won Gauntlet so much acclaim. I'll start first with the control scheme as comfort while playing the game decides whether or not it's picked up again. The control scheme is close to where you won't realize your holding a controller and you'll feel comfortable enough to go through the game. Sound is decent enough with the ambience delivered by the game is enough to send a shiver or two down your spine at points throughout the game. The concept is close enough with a feeling of a four player resident evil in which you fight the undead through the streets of a no-name town. Playability is good enough with the ease of being able to pick the game up and just go is really good. Finally, the replay value on the game is really good as it is worth being able to pull the game out and play it while you have three friends over. Start the game at about 8 in the evening and the fun just goes on from there. However, with this genre it can be a situation of hit or miss depending on how you feel about games built on the platform of multiplayer. So, invite three friends over, rent the game and play Hunter for awhile. If you feel it's worth buying, then do just that. Happy Hunting...",A Stepped Up Gauntlet For The Xbox Owners,1026345600,,,,feel player send evening go much i'll shiver ease realize character playability type genre xbox fight value creature however depend gauntlet decides weaknesses player evil four comfort concept invite multiplayer point enough ne pick buy feel principle involve happy fun friend platform no-name really rent resident play back strengths acclaim four-player pull hold replay able good worth vary comfortable first whether game awhile miss hunt town game fast-forward close street decent situation finally start hit controller undead sound pick build play two scream ambience scheme throughout fight basic deliver go three us spine hunter control
8,170194,5,True,"05 29, 2010",A23KDA686N6T4Y,B001C4C4KW,Nick A.,"The Disgaea series is pretty much the only SRPG series that i like. I was never too fond of SRPG's and then i played Disgaea 1 which got me hooked. Still these games, as you should know, can consume 100's of hours of your life. The insane amount of levels you could get(not only your character but items as well!) was what hooked me but theres so much more to do and each addition to the series keeps adding even more! I would say the 3rd one(this one) has the best gameplay. In terms of characters though i would rank it after Disgaea 1 but better than 2's. The story is alright(somewhat short though) with some neat twists, and the characters voice actors do a good job in my opinion. The graphics are the same as the first two, but Disgaea 4 NIS said will have better graphics. Though i hope its keeps the same charm it has always had. If the graphics discourage from getting this don't let it!! The grinding of levels gets annoying sometimes but i always come back after taking an 1-2 week break. If you like trophy's this game got a patch to include trophies it now has a whole ton of them to earn. So to recap if you like SRPG's,funny wacky stories,funny characters(prinnys!), and a great bang for your buck you should give this a try! I personally cant wait till Disgaea 4 hits to see what insane new additions will be added.",Hours of fun..you keep coming back!,1275091200,,,,"know give actor earn discourage play much hit amount buck character recap break like say hour ni stories,funny graphic could week come character take alright(somewhat try job charm ton srpg's twist wait addition great till srpg's,funny good bang addition hope fond one personally series one(this term new rank annoy back consume trophy's trophy whole added let good add insane first item neat game cant there get would hook sometimes level game still voice even see patch get(not grind include opinion never short disgaea srpg best characters(prinnys two story gameplay though life keep well always say get get wacky pretty"
9,224196,4,False,"07 18, 2015",A1Y0SLDABYIVDO,B004AM5RAW,Layton,"I do really like this mouse. I have had it for over 3 years. Never had a mouse like it before, good customization through software, lots of buttons, fit my hand perfectly.  Unfortunately It has started to give me problems this past year. The peg on the case that hits the switch has worn down both the peg and the switch so clicking sometimes works and other times not so much. As well as a common issue of double clicking.  Its a nice mouse, but for the price and the quality, eh, be very careful as things always tend to break after the warranty is up.",I do really like this mouse,1437177600,,,,give nice much hit hand break double like start time lots problem software button careful unfortunately thing really click issue quality peg eh good perfectly worn fit price switch common mouse sometimes work year tend case never customization warranty well year past always
