,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
796,5,True,"09 24, 2013",A3CZ890UHC8HHZ,B0009RF9DW,{'Size:': ' 6.6 oz'},Amazon Customer,"It diffuses a very mild light perfume, just what I wanted. I wear Shalimar lotion and perfume so I wanted a nice hint on days I do not want to wear the stronger lotions and perfumes. I will be purchasing it again.",What I expected,1379980800,,
2893,5,False,"07 12, 2014",A125TMC44CJBKK,B0012Y0ZG2,{'Size:': ' B-020'},Mustang Shelly,All time favorite!!!! Wish they still carried this!!!,Five Stars,1405123200,,
2817,5,True,"12 28, 2014",A3JDSBP01M7R2R,B0012Y0ZG2,{'Size:': ' 112'},Tim A. Brooks,One of my wife's favorites.,Five Stars,1419724800,,
1145,5,True,"03 3, 2014",A2HT5WENL8E5S6,B000FI4S1E,,Shasta Masser,If you have body acne this product is a must. I noticed a difference on my back and chest within the first week of using this body wash. It helps heal what is already there and helps prevent 95% of it from reoccurring!,Acne Body Wash A MUST,1393804800,,
3830,5,False,"11 7, 2014",A7LAYX9R7IMOO,B0012Y0ZG2,{'Size:': ' 123'},andre luiz,I really is what I expected,Five Stars,1415318400,,
2278,5,True,"04 7, 2018",A29PKN4LL05QGF,B0012Y0ZG2,{'Size:': ' 8.5oz'},Danielle,Lathers well and smells great.,Five Stars,1523059200,,
860,5,False,"11 11, 2012",ACA81N25RHH2N,B0009RF9DW,{'Size:': ' 8'},L Lovera,"Don't just take my word for it, you must try it. A dear friend got me this from Italy 12 years ago and have been using it since, very hard to find it in the US. This shower cream will transform your shower experience, beautiful fragrance living your skin smooth and you will feel completely relax as if you just spent the day at the SPA, I LOVE it it's one luxurious treat for myself! Give it a try, you won't be disappointed but buy it as soon as you find it, like I said, very hard to find it in the US.",Spa in a bottle,1352592000,,
4171,5,False,"09 16, 2017",A3NM1MT3Q2FHXV,B001LNODUS,{'Color:': ' Lavender Blossoms'},S.E. Poza,"Note: At the time of this review, seven different products are being sold on the same page. I am reviewing the lavendar lavender blossoms.

This is a generous amount of dried (loose) lavender blossoms designed to act in the same fashion as potpourri. The most important aspect to this product is the scent which I found to be delicate and natural. Lavender in general can be fairly overbearing, and you can smell this through the packet as it is relatively potent. However, it is not cloying or suffocating in its potency. I'm guessing this is because it's not as concentrated as a perfume or extract.

When you have the bag open and are exposed to all of it at once, it seems really strong, but as something you place in a location in lesser quantities, it doesn't tend to be so overbearing. I think that it strikes a good balance between being potent enough to have an effect and not being so potent as to make you queasy from a strong scent. I have had a lavender-scented face mask (the sort filled with beans that you heat or cool and apply to your face) for some time and found that putting that mask in a plastic zipper bag with a sachet made from these dried blossoms helped revived the fading scent quite well without have to risk staining the mask or making it smell too strong from using oils or perfume.

If there is any weak point to this, it is the presentation which can be a bit messy. I had to be very careful when opening the package not to spill the small, dried bits. It would have been better if it had come in a resealable package or a jar of some sort given how tiny they are. I decanted mine into a jar both to keep the scent contained in the long run and to more easily manage them. Still, since this point is intrinsic to the type of product this is (tiny dried blossoms), I'm not dinging it for that, but just noting it.",good natural scent,1505520000,,
608,5,True,"01 31, 2016",AD42QCRPG1RKG,B0009RF9DW,{'Size:': ' 136'},Pen Name,"It was good, my loved her gift!",Five Stars,1454198400,,
888,3,True,"03 25, 2018",A3T2BPXBDMLJPE,B000FI4S1E,,GabesAmazon,Good light scent. Have received complements from people that I smell nice after using it. 3 stars because bottle is kind of small for a shower gel (size compariso photo attached) and it doesnt really help me wake up in the morning like other products.,Good light scent,1521936000,,"['https://images-na.ssl-images-amazon.com/images/I/61iM-DR-wgL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/710+28paxwL._SY88.jpg']"
1549,5,True,"08 9, 2016",A3HA7DWA3A6P4D,B000URXP6E,{'Size:': ' 41'},Stellina Reed,Great Product; does wonders for colored treated hair.,Five Stars,1470700800,,
3672,5,True,"08 27, 2015",AJIQ6LH2YTZH8,B0012Y0ZG2,{'Size:': ' 354'},Dolores A. Ruscavage,I use Oglivie hair perm all of the time.  It's a great product for fine hair.,It's a great product for fine hair,1440633600,,
513,5,True,"09 28, 2017",A35QTJ23YREVYX,B0009RF9DW,{'Size:': ' 27'},G.I.M.,"I read that sponges need to be changed once a month... This product combines a body wash and sponge in one! The skin feels so clean each time I used it! And the sponge gives a gentle scrubbing sensation. To prolong its life, I first wash my hair (my body gets wet) turn off the water and scrub/soap-up my whole body with the Spongelle. Once done, I simply rinse off with the shower. This helps reduce water waste and prolong Spongelle's useful life-span. About a month and a half after first use, I start adding some of my favorite body wash. And after three months I replace it with a new one.","Cleanest feel, soaps up well and lasts over a month!",1506556800,,
2435,5,True,"11 3, 2016",ASL42Q7LYJWFV,B0012Y0ZG2,{'Size:': ' 74'},Janet Roseblatt,Tried many but this is the one to buy.,A favorite shower bathing gel.,1478131200,,
4469,5,True,"01 4, 2016",A1X60YTH1F0Y9A,B001OHV1H4,{'Size:': ' 11 fl. oz.'},G &amp; L,"Finding a ""natural"" shampoo that isn't disappointing is a challenge. They usually fail to lather and leave hair feeling dry or dull. This shampoo lathers just enough and as someone with straight, somewhat thin hair, I've been pleased with the way this shampoo really does smooth the hair but without weighing it down.",They usually fail to lather and leave hair feeling dry or dull. This shampoo lathers just enough and as someone ...,1451865600,,
1550,5,True,"08 8, 2016",A1CJRTU646COUL,B000URXP6E,{'Size:': ' 156'},Lucina Ramirez,"I used its works, I is good",Five Stars,1470614400,,
3455,5,True,"08 24, 2016",A14QBW6X0Q1YSD,B0012Y0ZG2,{'Size:': ' 58'},Susan J. Bedore,"Love  the scent and it work better than any other mousse I have used. it makes my hair look natural, not stiff. My hair is shinier and fuller. Great stuff.",Love the scent and it work better than any other ...,1471996800,,
3677,5,True,"08 23, 2015",A358YXSQDOI4N5,B0012Y0ZG2,{'Size:': ' B-020'},bc1941,Great product,Great,1440288000,,
1644,5,True,"03 20, 2016",A17ZAS11CK1HG8,B000URXP6E,{'Size:': ' 177ml/6oz'},Joni28,I love the smell of this product. I also bought the body butter and that smells great as well. I will be buying these again,Great product!,1458432000,,
849,5,True,"03 1, 2013",A2EBR70V6P9W0N,B0009RF9DW,{'Size:': ' 124'},karhill54,"This gel uses what feels like small seeds as the scrubbing particles. but there are too few of them to be of any real help as a body scrub. As a cranberry-scented, foaming body wash, it's out of this world heavenly! Just so luscious it makes me hungry just smelling it. It's also thick and makes a LOT of lather with only a minor amount of the gel on a bath sponge. At this price, if you like cranberry-scented B&B products, this will more than meet your standards.",As a scrub - 2 stars; as a scented body wash - TEN ********** !!!!,1362096000,2,
3998,5,True,"08 21, 2013",A11AZPF8R6A1F8,B0012Y0ZG2,{'Size:': ' 32'},Trini Chic,"Great product that works well when used together with repair formula conditioner. Love the way my hair felt after shampooing,",It really works,1377043200,,
2977,5,True,"11 12, 2013",A7VOU5ARHQ20F,B0012Y0ZG2,{'Size:': ' 19'},Medraut,Love this stuff.  It works better on my Psoriasis better then the medical creams and ointments the doctors prescribed.  Too bad they stopped making it.  Horde it all now because someday it will be gone and you will be forced to use head and shoulders.,noting clears up Psoriasis better.  too bad it's discontinued,1384214400,2,
1296,3,False,"04 6, 2013",A2OCDK0BOW6UCY,B000NKJIXM,,Antigone Walsh,"I thought this rinse might be a more palatable alternative to Listerine Total Care.  But with average performance and a questionable active ingredient, it is unlikely that I will use this again.

The rinse comes in an easy to used bottle with a pleasing contour. I did not particuarly care for the wintergreen flavor, it was rather sweet, mint-like and artificial. But my major concern come from the potential side effects for the active ingredient, cetylpridinium chloride. While it has antiseptic, anesthetic and disinfectant properties it is used in bug poisons as well as dental preparations. While its use has been FDA approved, I think there are more natural, less toxic and equally effective ingredients available. Moreover this ingredient has been known to cause browning of the teeth as well as intefering with the sense of taste. The bottle label warns of the discoloration risk but claims that the staining is neither permanent nor harmful. It claims such stains may be removed by brushing or ""at your next dental visit"". If my teeth suddenly browned, I don't think I would want to wait for my next regularly scheduled dental visit. Dental visits don't rate high on my fun things to do list and I would rather not spend my discretionary income on removing tooth discoloration caused by a mouth wash.

So while the performance of this rinse was adequate, I will pass until they change the formulation.",Concerned About Active Ingredient,1365206400,,
1283,4,False,"08 19, 2008",A3R9H6OKZHHRJD,B000LIBUBY,"{'Size:': ' 3.4 fl oz', 'Scent Name:': ' Pomegranate Anise'}",LH422,"This is an absolutely beautiful fragrance.  The pomegranate-anise combination is just brilliant.  It's sweet and fruity and just a little bit spicy.  Think red fruits with a hint of spice.

I would give this a 5 except that it doesn't last very long.  Longer staying power and it would be perfect.",Brilliant Scent,1219104000,3,
689,5,True,"01 27, 2015",A1N4MVSWIRSMIT,B0009RF9DW,{'Size:': ' 295'},MELINDA A HUNNICUTT,Hope they come back with this scent,Five Stars,1422316800,,
3820,5,True,"12 2, 2014",A1RO0GOES15LER,B0012Y0ZG2,{'Size:': ' 82'},Michelle,Loved this. ... but I can't fInd more. ... anywhere!,Five Stars,1417478400,,
