,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
483297,5,True,"08 1, 2017",A3OIPXMJIGUN9R,B00USBJ3HM,,Amazon Customer,Great product!,Five Stars,1501545600,,
352335,4,True,"06 29, 2017",A6R4MQC0F7F1R,B00NQN2NQ2,"{'Size:': ' 12"" x 10\''}",M. Cook,Works great with my Silhouette Curio.,Nice,1498694400,,
166579,4,True,"01 17, 2014",A3HABVT1TDUZUP,B002518D1K,{'Size:': ' #1'},Sylvia,I trust Kolinsky Sable brushes and they last a long time with care. I look forward to keeping it with me for all my watercolur fun.,"It is balanced for such a small brush, looking forward to painting soon.",1389916800,,
428633,5,True,"11 29, 2015",A1NABJE5E1KBEP,B001A34JLM,,Valerie Shockency,Works fine. Little bigger than I need but it was the closest size and works as it should. I'm glad I have it!,Great to Have,1448755200,,
16931,3,True,"04 14, 2015",A1F6LLOFCB9KRO,B000BI1L18,{'Color:': ' Smiley Face'},Amy Ashley,Didn't come with enough yarn to finish it. And no I didn't lose any.mo,Three Stars,1428969600,,
188360,5,True,"02 26, 2014",A1T31WP8R4P12B,B002Y2GY7U,{'Size:': ' Small'},rhonda,I couldn't quilt without these on. In fact they are so comfortable I have several pairs and only take them off to shower.,Total comfort,1393372800,,
15684,5,True,"05 26, 2016",ADFELNXI77VXW,B000B7Q9KM,{'Color:': ' Wine'},Lauren,"I use Rit dye all the time, here are some helpful tips

Step by Step
CHOOSING FABRICS. Rit works best on many natural, washable fabrics and materials, such as: a. 100% cotton, linen, silk, wool, ramie
b. Synthetics such as rayon and nylon
c. Fiber blends with at least 60% cotton or other dyeable fiber (blends will tint evenly but will not achieve full color)
d. Nylon-based plastic such as those found in buttons, fasteners and lacrosse sticks
e. Natural materials such as wood, wicker, paper, feathers and cork But there are fabrics and materials that will not accept dye, such as: a. 100% polyester, acrylic, acetate, fiberglass, spandex and metallic fibers
b. Fabrics with rubber backing (bath mats or throw rugs)
c. Fabrics with special finishes such as water repellents
d. Fabrics with bleach damage or extensive staining
e. Fabrics washable only in cold water or labeled dry clean only
f. Polyethylene plastics such as golf discs
g. Polycarbonate plastics such as eyeglass frames
Fiber content and weight also effect how color appears making fabrics like cotton, wool and silk absorb dye differently, slightly changing the hue and brightness of the chosen color. If you are in doubt as to whether your fabric will accept dye or achieve the color you want, we recommend testing a swatch.
DYE PREP. Cover work area with a plastic table cover or newspaper and have paper towels or sponges handy to protect against any possible spills.
Wear rubber gloves to protect hands from getting stained and to insulate them when working with hot water.
Use plastic buckets or stainless steel pots for the dye bath. You can also dye in a stainless steel sink. Dont dye or rinse items in a porcelain or fiberglass sink or tub as they are likely to get stained./p>
ACHIEVING TRUE COLOR. Always follow manufacturers care instructions for your fabric as well as Rit Dye package or bottle instructions.
Remove stains on fabric or use Rit Color Remover before dyeing to get fabric to an off-white or cream color. This will help achieve uniform color results when dyeing.
Dissolve powder dye thoroughly in 2 cups of very hot water first to avoid dye spotting. Stir dissolved powder dye or well-shaken liquid dye into dye bath until evenly dispersed. Never pour liquid or powder dye directly on fabric unless looking to achieve a specific creative effect.
Be sure to use enough dye for the weight or size of the project. For example, for a pound of dry fabric (about 3 yards), use one package of Rit powder or 1/2 bottle of Rit liquid in 3 gallons of water. You want enough water for the fabric to move freely in the dye bath so that it can absorb the dye evenly across the garment.
When dyeing 1 pound of dry fabric in dark or bright colors such as Black, Dark Brown, Cocoa Brown, Navy, Purple, Wine, and Dark Green, use double the amount of dye (2 packages of Rit powder or 1 bottle of Rit liquid) in 3 gallons of water.
For the deepest color, use a water temperature of 140F/60C and keep heat constant while dyeing (the stove top method or a washing machine work best). Note: If tap water is not hot enough, heat water on the stove, in a teakettle or in the microwave.
If dyeing a garment more than one color, its usually best to start with the lightest color and move to the darkest.
For more intense color when dyeing fabrics containing cotton, rayon, ramie, or linen, add 1 cup salt to the dye bath. When dyeing nylon, silk and wool, add 1 cup white vinegar to the dye bath. If possible delay adding the salt or vinegar until 5 minutes after the fabric has been in the dye bath. The delay will help to promote level dyeing.
Add 1 tablespoon laundry detergent to all dye baths to help promote level dyeing.
The longer the garment is immersed in the dye bath, the deeper the resulting color. Items can remain in the dye bath up to 1 hour as long as the water remains hot. Youll also have to make sure the item receives constant agitation or stirring.
Garments will also look darker when wet and prior to washing.
When you remove clothes from dye bath, rinse in warm, then cool water until water runs clear. (Warm water helps to rinse off surface dye more effectively.)
Wash your fabric/clothes in warm water with mild detergent and then rinse thoroughly in cool water. Machine dry or hang dry.
CARING FOR DYED ITEMS. For the first two or three times, wash your dyed item by itself in cool water with a small amount of non-bleaching detergent. Always wash your dyed clothing with similar colors in cool water with mild detergent. Dry cleaning silks and special fabrics is recommended.
CLEANUP. Clean containers and sinks immediately after dyeing by scrubbing with hot water and powdered cleanser or bleach.
Clean washing machine using highest water level with hot water, detergent and 1 cup chlorine bleach using complete wash cycle. Clean lint traps. Plastic or rubber machine parts may be tinted but will not stain laundry.",Great Buy!,1464220800,19,
26282,5,True,"05 20, 2014",A1APLEGBOIHQ8E,B000JQQTGY,,J. W.,"Its perfect for me.  It very well made and a very good value for your money. It's versatile, stable and lovely to look at even without a single piece of artwork in its frame.  Its compact but seems to work well in every application.  I don't think you will be disappointed.",Just the ticket,1400544000,,
428736,5,True,"05 16, 2018",AKUH7V4HT3ZMA,B001AR7OWY,{'Color:': ' Black'},Stephanie,Works very well just as it is supposed to,Works very well just as it is supposed to,1526428800,,
436967,5,True,"03 8, 2016",A2N46YDOSO7GVH,B00393NOYE,,Rosie,good borders,Five Stars,1457395200,,
91190,5,True,"12 16, 2014",A12ARXJ6WP4IS0,B000XAJ5C6,,J. Fox,This stuff is great for all sorts of things.  It is like super double sided tape.  Very sticky and easily dispensed in a runner.  Works for crafts or scrap-booking.,This stuff is great for all sorts of things,1418688000,,
308666,5,True,"06 9, 2014",A2YAJHE6G0R1JW,B00ENSXBZ6,,Sam C,"Love the quality, flexibility and versatility of these stamps. Stamp clearly (I use Versafine usually with clear stamps).
Build your Own snowman with mix and match pieces so you get just the right effect, in the colors you choose.

I like the ability to use the tie, scarf, hats, smiles with other stamps. Even Snowflakes are included to help make a background.",Clear Stamps from Penny Black Build-a-Snowman,1402272000,3,
