,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
262389,4,True,"10 5, 2015",ACTAW58BXFX3R,B00DI3EY5S,{'Color:': ' glasses/Rosy'},VBLove,Looks just like picture & nice quality,Four Stars,1444003200,,
586305,5,True,"09 4, 2013",A3GF5K64NR2MI7,B00OJDK7UW,,Jamont Black,"I absolutely love my new mint green iphone case, especially for the price that I paid for it at! Thanks Amazon.com for such wonderful deals!!!",iPhone case,1378252800,,
651955,5,True,"04 11, 2015",AGAJSLDR47365,B00SAU4ZSA,,JMELPASO,Great case that provides beauty and protection .,Five Stars,1428710400,,
802036,5,False,"04 14, 2016",A3AG0VEDKG94OW,B012BD8JV0,{'Color:': ' Midnight Gray'},Mindy,"I absolutely love this charging cable! It charged my iPhone so much faster than other cords I've tried. I'm looking forward to my kids using it for their iPads, as they charge slower than the phones. I'm very happy with this and would recommend it to anyone in the market for a better quality charging cable than any in stores!!",Super fast!,1460592000,,
36314,3,True,"04 23, 2013",A2Y2R66J0A33MU,B00462MU1U,,AnnaDem,"Why i don't really like it cause it keeps shutting off on me and dies fast but the middle of sreen was starting to go.
next time ill buy a new phone.",dud,1366675200,,
675040,5,True,"03 29, 2016",A1MQPNRIKTK9ZU,B00TYTBHKU,"{'Color:': ' City Blue', 'Package Type:': ' Standard Packaging'}",MS&amp;#62; USA,love it,Five Stars,1459209600,,
417366,5,False,"10 11, 2014",ANQYL9QWM000N,B00JMXXI3C,,General Villa,great product,Five Stars,1412985600,,
1120164,3,True,"08 28, 2017",AVAUGNKGW6ZTF,B01BG2B8I8,,philip,Not very clear. makes the screen look hazy.,Three Stars,1503878400,,
342558,5,True,"02 22, 2016",A2G3KKVY09JIFB,B00GUXIARG,"{'Offer Type:': ' Single Pack', 'Package Type:': ' Standard Packaging'}",jay,loved it,Five Stars,1456099200,,
644586,4,False,"09 9, 2015",A3V2NAG58DZBHL,B00RKVW21M,{'Color:': ' Galaxy Note 4 (Tempered Glass)'},Kahmiel,"Tempered glass screen protectors are so much more durable and reliable than the flimsy plastic protectors I first used on my phone. That said, this one comes with a very high price tag, and while it is much more durable than a regular plastic sticker type protector, I don't know that I would spend the 19$ that it is currently priced. If it were less though, I absolutely would, as it is durable, easy to apply, and can easily protect an expensive phone.

Also, because it is glass it is pretty much like nothing is there. There is no harder tapping or extra glare, it just invisible.
I received this product for free in exchange for my honest an unbiased review.",Durable and great product.,1441756800,,
