,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
0,5,True,"06 17, 2018",A31UBHTUUIFJUT,B004LLIKVU,{'Gift Amount:': ' 50'},john stoiber,Another great gift.,Five Stars,1529193600,,
1,4,True,"06 14, 2018",A2MN5JQMIY0FQ2,B004LLIKVU,{'Gift Amount:': ' 50'},Amazon Customer,Gift card for my daughter,Ease of use,1528934400,,
2,5,True,"06 2, 2018",A25POI5IGGENPM,B004LLIKVU,{'Gift Amount:': ' 50'},Kindle Customer,Nice present,Five Stars,1527897600,,
3,5,True,"05 19, 2018",A2HYGTHB4LJ9FW,B004LLIKVU,{'Gift Amount:': ' 50'},Amante dei Gatti,My niece loved this birthday greeting/gift card.,Love the convenience of eCards,1526688000,,
4,5,True,"05 18, 2018",ACDG3M94UMZGJ,B004LLIKVU,{'Gift Amount:': ' 50'},Joan Freesh,fine as a gift.,Five Stars,1526601600,,
5,5,True,"05 8, 2018",ABWSFKJ1MRN1Q,B004LLIKVU,{'Gift Amount:': ' 50'},Barb Peterson,I would have preferred some more choices.,Five Stars,1525737600,,
6,5,True,"05 1, 2018",A34JP8QRZRS7W5,B004LLIKVU,{'Gift Amount:': ' 50'},dood,great,great,1525132800,,
7,5,True,"04 27, 2018",A2JCUY769II5B5,B004LLIKVU,{'Gift Amount:': ' 50'},Stephanie K,Very cute design and enjoyed by recipient.,Five Stars,1524787200,,
8,4,True,"04 12, 2018",A1MAKKM3E4PFE2,B004LLIKVU,{'Gift Amount:': ' 50'},NPR MAN,"I used the text option to send these last minute gift cards to my Granddaughters (via their mom's phone). Works really well, you get a confirmation email that it has been received, and a confirmation that the cards have been redeemed. Granddaughter's very happy with the card design. I love the options you have when you send Amazon gift cards!","I texted this gift card to my Granddaughter, works like a charm, they get the card instantly!",1523491200,,
9,5,True,"04 12, 2018",A35NK1PEDWMV0I,B004LLIKVU,{'Gift Amount:': ' 50'},Traveler,This was for a gift and it was well received.,Five Stars,1523491200,,
10,5,True,"03 23, 2018",AZ5C65G10R6W6,B004LLIKVU,{'Gift Amount:': ' 50'},Djuli,Great way to send a last minute birthday gift to someone through email. Cant go wrong with Amazon gift cards!,Convenient,1521763200,,
11,5,True,"02 8, 2018",A2EMTLQJQS9PQJ,B004LLIKVU,{'Gift Amount:': ' 50'},Irene P Couchman,guess it was appreciated?,Five Stars,1518048000,,
12,5,True,"05 29, 2018",A3CRNB557EW50L,B004Q7CK9M,{'Gift Amount:': ' 20'},KCWANGSVICK,I bought several of these cards for 'stocking gifts' for the church staff. Glad that Amazon actually had a Real Christmas themed card.,Reason for the Season,1527552000,,
13,4,True,"04 14, 2018",A3R3UC3SWC7RIL,B004Q7CK9M,{'Gift Amount:': ' 30'},KC,was gift,Four Stars,1523664000,,
14,5,True,"03 18, 2018",AEGP5NUG8YFS0,B004Q7CK9M,{'Gift Amount:': ' 20'},Wanda K.,great,Five Stars,1521331200,,
15,5,True,"03 18, 2018",A3BNRL2SCE6CGU,B004Q7CK9M,{'Gift Amount:': ' 15'},karl zahler,they are gift cards,Five Stars,1521331200,,
16,5,True,"03 12, 2018",A1FKMXROBDOI7W,B004Q7CK9M,{'Gift Amount:': ' 25'},D.M.,Xmas gift.,Five Stars,1520812800,,
17,4,True,"03 5, 2018",A3NNNJAQ22RN10,B004Q7CK9M,{'Gift Amount:': ' 25'},Joyce Martin,This was a birthday gift,Four Stars,1520208000,,
18,5,True,"03 2, 2018",AEDHVVRO3Y938,B004Q7CK9M,{'Gift Amount:': ' 40'},darlene r,everyone loved getting them for Christmas  Thanks,Five Stars,1519948800,,
19,5,True,"03 1, 2018",A28YGUP7ZFI6PP,B004Q7CK9M,{'Gift Amount:': ' 25'},Cath,Xmas stocking stuffer. Loved it,Arrives fast,1519862400,,
20,5,True,"02 8, 2018",A3VZ1JUAW5IYR8,B004Q7CK9M,{'Gift Amount:': ' 30'},BETTY,Easy gift that I knew recipient would love.,The greeting card along with the gift card made it more special,1518048000,,
21,5,True,"02 6, 2018",A73IL07XP97YM,B004Q7CK9M,{'Gift Amount:': ' 30'},jgar529,Very nice,Five Stars,1517875200,,
22,5,True,"01 30, 2018",AHBLLZMAXGB2U,B004Q7CK9M,{'Gift Amount:': ' 100'},Billcar 43,"I sent this to one of my relatives out of town , she thanked me for it",Five Stars,1517270400,,
23,5,True,"01 28, 2018",A2Z43ZQDGCFCBD,B004Q7CK9M,{'Gift Amount:': ' 15'},Jesse Ward,"Came on time, and exactly as described.",Came on time.,1517097600,,
24,5,True,"01 15, 2018",A270HKP30FYUX6,B004Q7CK9M,{'Gift Amount:': ' 75'},SueSarahMookie,Nice card,Five Stars,1515974400,,
25,5,True,"01 8, 2018",A4OJWUX1MKR3B,B004Q7CK9M,{'Gift Amount:': ' 50'},Kathy,This was a gift.,Five Stars,1515369600,,
26,5,True,"12 27, 2017",A1LCT6F9JL6P7C,B004Q7CK9M,{'Gift Amount:': ' 100'},mike murphy,lots of thank you's from nieces.,Five Stars,1514332800,,
27,5,True,"12 19, 2017",A17WJKTK88DY0C,B004Q7CK9M,{'Gift Amount:': ' 20'},Dee,Cute!,Five Stars,1513641600,,
28,5,True,"12 13, 2017",A1C1YNIRA6OSMQ,B004Q7CK9M,{'Gift Amount:': ' 25'},Sis,Love gift cards..fast delivery!,Five Stars,1513123200,,
29,2,True,"11 16, 2017",A35ZJY01RQSY5O,B004Q7CK9M,{'Gift Amount:': ' 25'},Backpacker,"Ok looking card (not great). But I would have liked it to come in a tin. As one of the ones I ordered, the card was bent in half. And couldn't have been done by post office as they were in a box.",OK looking card,1510790400,,
30,5,True,"09 5, 2017",A123IIX1Z50O9U,B004Q7CK9M,,Abburu Sharma,It was good experiance,Five Stars,1504569600,,
31,5,True,"07 22, 2017",A36ABUVB4X9Q1C,B004Q7CK9M,{'Gift Amount:': ' 50'},DFC,Nice look,Five Stars,1500681600,,
32,5,True,"06 27, 2017",A1L7ZNJ417R9KR,B004Q7CK9M,,bajababe,"Always a great gift for any one, any time. And very convenient.",Always a great gift!,1498521600,,
33,5,True,"06 27, 2017",A2DIIBPEA3CTXL,B004Q7CK9M,{'Gift Amount:': ' 25'},Sallye Jefferson,attractive card; easy to print; convenient,easy to print,1498521600,,
34,5,True,"05 12, 2017",A1YXA1KL03KML,B004Q7CK9M,{'Gift Amount:': ' 25'},ff13texas,A great gift for someone.,Gift,1494547200,,
35,5,True,"03 10, 2017",A28MI0OGL4S2BB,B004Q7CK9M,,clark,Always a perfect gift for my son.,Amazon Prime members love Gift cards!,1489104000,,
36,5,True,"03 4, 2017",A5U1KZ3EIK0IG,B004Q7CK9M,,Branson Mom,Can never go wrong,Can never go wrong,1488585600,,
37,5,True,"02 21, 2017",A2VIPI69EC0N1F,B004Q7CK9M,{'Gift Amount:': ' 100'},Steven,love it,Five Stars,1487635200,,
38,5,True,"01 30, 2017",A2ULIBNQS93NYQ,B004Q7CK9M,{'Gift Amount:': ' 15'},Leandra P. Cooke,nieces and nephews enjoyed using these cards.,Five Stars,1485734400,,
39,5,True,"01 18, 2017",ARZLW6MFV58E9,B004Q7CK9M,{'Gift Amount:': ' 20'},Denise Andrews,"How can you go wrong with a amazon gift certificate, you can't",Terrific,1484697600,,
40,5,True,"01 14, 2017",A2WCRWBZJETE17,B004Q7CK9M,{'Gift Amount:': ' 50'},Jeff Quade,Good gift for anyone,five stars,1484352000,,
41,5,True,"01 7, 2017",A1V9KVHS8CF7N9,B004Q7CK9M,{'Gift Amount:': ' 100'},IN,gift,Five Stars,1483747200,,
42,5,True,"01 3, 2017",A63HW9AIN5MI3,B004Q7CK9M,,bearcat,great gift,Five Stars,1483401600,,
43,5,True,"01 2, 2017",A2AWS633WWTXFX,B004Q7CK9M,{'Gift Amount:': ' 50'},"Wades Web Works, LLC",Wife loves it,Five Stars,1483315200,,
44,5,True,"12 31, 2016",A1G2TIZW7OJ4I7,B004Q7CK9M,{'Gift Amount:': ' 100'},Bill Williams,Very pleased with the gift card in a greeting card.  Nice way to give a gift.,Five Stars,1483142400,,
45,5,True,"12 18, 2016",A1NWGBDJ06W9BH,B004Q7CK9M,{'Gift Amount:': ' 15'},Debra A. Huntley,Gift cards the perfect gift.,Five Stars,1482019200,,
46,5,True,"12 17, 2016",ADGKZ1FXY3DRE,B004Q7CK9M,{'Gift Amount:': ' 20'},judijudi0,Enjoyed by the person receiving it and it was appreciated.,Great way to buy a gift,1481932800,,
47,5,True,"12 14, 2016",A1TC5SEU8KYKKJ,B004Q7CK9M,,Jarrod H.,Card works just fine,Five Stars,1481673600,,
48,5,True,"10 20, 2016",A1O0W1MJPZYI9J,B004Q7CK9M,{'Gift Amount:': ' 25'},CYNTHIA MCGOWAN,Always a wonderful gift,Five Stars,1476921600,,
49,5,True,"07 19, 2016",AK3402G7FO7AY,B004Q7CK9M,{'Gift Amount:': ' 15'},JMK,Loved the Cat in the Hat card that came free with the purchase of an Amazon Gift card. Adorable to give as a gift!,Cat in the Hat Christmas card.,1468886400,,
