,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
607010,4,True,"06 21, 2017",ARP69TQ1M66D1,B008JA73RG,Stephanie Smith,"Was really a lot saltier than I thought. Next time low sodium,...",Four Stars,1498003200,,"{'Size:': ' 4 Packs of 6', 'Flavor:': ' 100% Vegetable Juice'}",
283880,3,False,"05 27, 2012",A19123D9G66E0O,B0019GVBYI,Tim,"Bilberry taste a lot like the berry of similar spelling. To put it straightly it tastes a lot like a slightly tart blueberry. They may be a simplistic view of this tea, but I think that is a universal flavor identification that everyone can agree with. I like tea, and this one is not bad. It is definitely different and I might say worth trying out to see if you like it. Bilberrys are of course high in anthocyanins which is the same powerful antioxidant behind recent health fads as the acai berry and black raspberry.

Pros:
+Healthy
+Unique taste

Cons:
-Unique taste

Overall three stars. Remember that three stars means it just okay, I am not hammering this product as I am sure some people will very much so enjoy it. If you are taking it for health purposes than I am sure you won't mind the taste at all as it is great tasting for medicine.",It's Okay,1338076800,9,"{'Size:': ' 24 tea bags', 'Flavor:': ' Bilberry'}",
1033334,5,True,"06 27, 2016",AZJ2XNKB6OEQA,B000O9VGFA,ned1644,Bought these to make vanilla extract.  Very flavorful.,Good Product,1466985600,,,
536189,5,False,"11 27, 2013",A2YP1HYB6Q0JEQ,B005LURCNW,Todd7,"These instant tea packets really come in handy when traveling, or when your local store is out of the bottled tea. Simply dissolve crystals into water (I prefer 16 ounces of bottled water), shake and enjoy the robust flavor that's very similar to the Diet Snapple bottled teas.",Handy,1385510400,,{'Flavor:': ' Peach Tea'},
487836,5,True,"05 13, 2013",A3XJ3RXC318M9,B004VLVMO2,Kindle Customer,I loved this product.  I make granola with it and it's delicious.  The texture and flavor is really good.  I would definitely buy it again.,Bob's Rolled Spelt Flakes,1368403200,,{'Size:': ' 16 Ounce'},
796811,5,True,"10 14, 2011",A3PZ7YO41LH347,B00HYKDSG2,Amazon Customer,"These were recommended by a friend, and they work great!  I sing professionally, and often have allergies or just need my throat to stay moistened.  These are not too big to hold in your mouth while singing, and taste really good.",A singer's dream,1318550400,,{'Package Type:': ' Standard Packaging'},
860586,2,False,"01 12, 2016",A2YBNVERRS1GGB,B00MYRXIIS,Elena,"Way too much steviia, weird aftertaste",Two Stars,1452556800,,"{'Size:': ' Large', 'Flavor:': ' Vanilla'}",
647737,5,True,"11 9, 2016",A3B5K05DHOW3R1,B00AZL950A,masterj,so happy find great maker here on amazon . they make some very best candies we have ever eaten . will buy more . john,so happy find great maker here on amazon,1478649600,,"{'Size:': ' 1 Pound Gift Box', 'Flavor:': ' Pecanette Original / Milk Chocolate'}",
808096,5,True,"04 30, 2014",A30N4IKY7698QI,B00IKS7ACK,I Love Lucy,"Yep, it tastes like a York Peppermint Patty and was a great Easter addition. This is a nice size for the price.",Peppermint,1398816000,,{'Size:': ' Single Pack'},
281732,3,True,"08 29, 2017",A25NXH7CGEYJ7Q,B0018AJAIY,The Wild Olive,"I bought these to flavor my homemade remineralizing mouthwash.  It's a nice sampler set to test drive the flavors. These are micro sized bottles, but strong flavors so you don't need much.  The big problem for me is they do not have drip-top inserts (like the ones most bottles of essential oils have), so pouring out just a few drops is nearly impossible.  I waste about as much as I use every time I use them because it runs down the side of the bottle or I pour out way too much.  The peppermint and spearmint flavors are nice, haven't tried the wintergreen yet, and the creme de menthe is really underwhelming.  I doubt I will ever purchase another set of flavorings in these tiny bottles - too hard to use.  I prefer 1 oz bottles for which you can buy replacement dropper tops.","Nice set, but bottles are hard to pour out controlled amount",1503964800,3,{'Flavor:': ' Mint'},
1049769,3,True,"01 12, 2014",A18SPBA1PKZR7Z,B001EQ5FSG,Tina,"Made in Nature is a good brand and I've really liked their dried fruits across the board. Of this 6-pack though, I only got to eat three of the packages. By the time I got to the last three, they had inflated so much that the unopened package was actually tight like a balloon. Disappointing, especially since they were still well before their ""best by"" date.","Good, but use them quickly",1389484800,2,,
1017840,5,True,"08 10, 2016",A3QOY2GV9BYOL5,B01GQHNCR8,michael j poole,yum,Five Stars,1470787200,,,
1004724,5,True,"09 25, 2014",A21M7ROB8CDBWL,B01E5XTW24,JBS,"My favorite Keurig coffee. Bold, strong, just right.",Five Stars,1411603200,,"{'Size:': ' 96-Count', 'Flavor:': ' Dark Magic'}",
397480,5,True,"03 25, 2014",A3ID5DXFWCBRJU,B002LME6OQ,Karen,"There are just so many benefits associated with drinking this tea. However, I'd like to speak on Prince of Peace. There brand of oolong tea is the best you'll ever find online. It arrived early and always exceeds my expectations. Did I mention that it suppresses my appetite.",Amazing!,1395705600,5,{'Size:': ' 100 BAG'},
