,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
699767,5,True,"06 11, 2014",A2ALPKLPIOKKPI,B00KTE0B2Y,{'Format:': ' Kindle Edition'},M.E. Belle,"C.L. Foster and E.R. Rada have teamed up to deliver a fresh new take on historical romance that is sure to leave readers in awe. Heart of War is set in the majestic era of knights and kings and the Hundred Years War. Adalira and Bastian are the children of nobles with their hearts set on the battlefield. Adalira is expected to be prim and proper as a Lady usually is, but she longs to wield a sword. Bastian is expected to be a diplomat, but his dream is to be a knight. When they meet, they just might be each other's key to breaking free of the mold and winning their families over.

I had the brilliant opportunity to beta-read this lovely story and I fell in love from the beginning. The characters are very well-rounded and easy to love, each of them unique with a great deal of personality. The world in which they live is vividly detailed, leaving nothing to the imagination while allowing the reader to become lost in the story. I'd consider this artwork at its finest, a picture painted in words dripping with creativity, talent, and passion for the craft.

The collaboration between C.L. Foster and up-and-coming author E.R. Rada is genius. They compliment each other well without breaking the story. While they each have their own writing style, the chapters flow together nearly seamlessly and, if you had not known better, it would be easy to believe that this book was penned by only one author.

I am looking forward to the next book by these two inspiring novelists, be it a collaboration or solo work. If you haven't picked up Heart of War yet, I urge you to do yourself a favor and take a chance on it.

P.S. My favorite character is Ezra. I'd say it was almost like he was written specifically for me. *wink* <3",Splendid work from an unstoppable author collaboration!,1402444800,2,
2175663,4,False,"04 13, 2016",A2VT1QJM4HCSG8,B01CKLUUTW,{'Format:': ' Kindle Edition'},IslandDeb,"Dirty Girl is provocative, deliciously decadent, and sexy as hell.  It will shock you, and at times, it may disgust you.  But if you're like me, you won't be able to put it down.  Allie Cooke has written a story that is much more than initial appearances. Which is key to why it kept my attention.  Ill admit, the utter down and dirty, unapologetically nasty behavior these characters engage in more than grabbed my attention.  However, the measured and precise manner Ms. Cooke uses to reveal the how's and whys of our heroine Charity, impressed me.

I love damaged characters!  And Charity is on her way to being crowned Ms. Broken, Bruised, and Battered.  Charity certainly doesnt make the best first impression on us.  Her penchant for trolling a different bar each week, carefully (or not so carefully) choosing a stranger, hauling him into the men's room and begging him to boink her brains out isn't exactly lady-like behavior.  Its been her addiction for quite some time, and she has absolutely no remorse over it.  In fact, she prefers living her life this way.  Its not just the no strings aspect that turns her on.  It's the danger, the thrill of being discovered, the excitement of being watched.  My first thought...damn, this girl is playing with a loaded gun.  And then I settled in to watch her crash and burn.  Which doesnt happen the way I expected it to.  What happens is Boone.

""He was someone like meexcept not. Where I at least paid lip service to the rules, I got the feeling Boone shot them the bird and did as he pleased. Even in my crazy little *censored*-up world, there was order. There had to be. Boone, however didn't know the meaning of order, or rules, and that fascinated me as much as it terrified me.""

 Dirty Girl Book 1 is our meet and greet with Charity and Boone.  Ms. Cooke feeds us morsels of Charitys real life; not quite enough yet to figure her out or forgive her for her abominable behavior.  It is, however, a promise of more to come, and once again had my brain working to make sense of this girl.  Boone has his own agenda, which seems chivalrous and yet
Needless to say, Im hooked on Dirty Girl and cant wait for the next installment.
***** Reviewed for Xtreme Delusions *****","Provocative, Shocking, and Very Dirty",1460505600,,
417189,3,True,"02 22, 2014",ASI6AZB6O2XM0,B00EOCR1UM,{'Format:': ' Kindle Edition'},Anissa,"It was an ok read. I was waiting fir something really exciting to happen & every time I thought it was about to, it didn't. Not too sure if I'll read part two because it seems like maybe more could have been told in this book if so much time wasn't placed on describing everything designer. I guess everybody needs to be more descriptive than the last person. It was a pretty good story just...",Nothing is Free,1393027200,,
325203,2,True,"06 12, 2016",A12IRC7C82QVCR,B00CKZQFSY,{'Format:': ' Kindle Edition'},avidreader,"Whenever I encounter a story that looks like it's going somewhere, but then doesn't, it really irritates me. I just finished the book 2 days ago and I've already forgotten most of it, since it was so boring. BORING!.",BORING!,1465689600,,
1499452,5,False,"03 10, 2016",A1PA6ZO9892OH3,B01CT5K792,{'Format:': ' Kindle Edition'},Nona,"I've read criminal, ruthless, and owned by the hitman. This is got be best written, one of them all. I start reading  sold to hitman just before dinner  time, which I forgot  to make.  Lol and had stop because  of my tablet drying, so I took a break  to give it time to let me finish  reading  this wonderful story. I was told in awe with our princess and knight in shinning  arm. Who love hold know  bounds. With turmoil  outside there bubble  trying  to go up in smoke. I can't  say highly enough  that this story  is totally  worth reading. Especially  if you love bad boy mafia.",From heartbreak  to finding true  love.,1457568000,3,
2006384,4,True,"03 14, 2018",A2KFG7MKA5YNS4,B00UB7TF1C,{'Format:': ' Kindle Edition'},Mrs. SJI,"Sean was wrong. I understand the drive for a family of his own. Though it started out wrong it turned out right. I loved how their love made them less selfish and more unturned. Sabrina and Clayton were sick and crazy. So glad no real harm came to them. Sean's final plea to have her back was the truth of his love for her, for her and no one else.",A deception for love,1520985600,,
1675142,5,True,"04 15, 2018",A2ZUR7LJIF7RL7,B007D788ZW,{'Format:': ' Kindle Edition'},Kindle Customer,The book was great. It was well written. It kept my interest. It  had drama and romance The ending was surprising.,Awesome,1523750400,,
2011647,5,False,"03 29, 2015",A3KOVLG5UV5C5Q,B00USMPM8K,,Nelson Boll,Chakra Healing Insiders Guide is a good guidebook to chakras for beginners. Each chakra is described and techniques and healing exercises are given for balancing each chakra.,Guidebook to Chakra Healing,1427587200,,
1206166,5,True,"08 13, 2015",AMGZ6CR112TDW,B012LB9KDI,{'Format:': ' Kindle Edition'},Mia B,"I fell in love with Tyler and Sarah and even though they were just characters in a book, my heart broke as I read the last few chapters.  To say I cried is putting it mildly,and I can't seem to get their wonderful love story out of my head.",I fell in love with Tyler and Sarah and even though they were ...,1439424000,,
441302,4,True,"05 1, 2015",A1LP28C05IKCI1,B00F942TRY,{'Format:': ' Kindle Edition'},Mary in Molino,Enjoyed the suspense.  Was not sure of the suspect until the last few chapters.  Still not sure why the person did the crime until the ending.  Would read books by author again as the crime developed or unfolded and kept you guessing.,A good who donit,1430438400,,
