,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
3604,5,True,"12 13, 2016",A1JH23815DVN5K,B000MEKG30,{'Size:': ' 3.8 Ounce'},Beth,"Whoa this stuff is awesome! I just received it a few days ago so I can't speak to the whitening effects quite yet, but the minty taste, texture, packaging, etc is great! A perfect gift too- I just ordered three more for family members as stocking stuffers. I've heard great things about the quality of Marvis toothpaste, so I'm really looking forward to seeing how it works!","Great texture, great packaging, etc",1481587200,,
19836,5,True,"06 25, 2013",A3KHWY7T46BBAP,B007PORYUI,{'Color:': ' Limited Addiction'},Erica,I love Essie nail polish! It's my favorite brand and one of the brands I buy most. Love this color!,Love,1372118400,,
28357,4,False,"06 28, 2015",A3E9WG5BEAFF3T,B00V5WVKKQ,,Jill Hart,"I have never used anything like this, but was pleased with how the laser hair removal product worked. It's quite expensive, but I guess compared to regular salon treatments, this could be a money saver. It's small - very compact - and easy to use.","I have never used anything like this, but was pleased with how the laser ...",1435449600,,
31285,5,False,"02 7, 2017",A22RIIYSPA3EDH,B01DXRLN9S,,R. Eye,"I love Vichy Aqualia on my face. It makes my skin feel smoother and more moist right after I apply it. I have sensitive skin and I did not notice that having it on my skin presented any problems. I have not noticed any difference with my skin except right after I apply it. To me, it has no scent.

Out of the bottle, it has a consistency of water so trying to place some of it on fingertips will prove futile. You will need a cotton ball or other absorbent medium to be able to get it on your face.",Refreshing product that makes skin feel smoother and more moist after applying,1486425600,,
15688,3,True,"12 8, 2016",A10QJ6CMP3UHC6,B003TY8UEC,,Mj,"The store was fine. Received on time in new condition, but unlike many who see great results, I'm not one of them. It dues make my skin, super soft",The store was fine. Received on time in new condition,1481155200,2.0,
34174,4,False,"08 5, 2017",A1WH5J3AP5JR7H,B01DWRRYS8,,Dave &amp; Amy Astle,"As a woman of a certain age, my skin needs a lot of help. The skin around my eyes in particular is becoming thin and wrinkly. I've tried a few different products and none seem to really work as well as I would like them to. I was beginning to think it was just too late for me, that my crepey eye skin is past repair. BUT! This product does seem to be having an effect on the skin around my eyes. There seems to be a healthier glow from my under eye area and the skin definitely seems less fragile. The only reason I am not giving this product 5 stars is the odor. It shouldn't have one and it does and I hate smells. I am giving this product a pass on the smell because it seems to be working.",seems to be working,1501891200,,
27789,3,False,"04 27, 2015",A1TPW86OHXTXFC,B00SIN3G66,,prisrob,"This is a product that interested me a great deal. The information on the package and bottle stated this product would diminish the appearance of wrinkle lines. Those lines on your forehead, under eyes, around lips. I took a small amount and applied it to my crows feet and blended it into the lines. At first indeed, the lines looked somewhat diminished and smoother. I did not notice any lifting of my face around the lines, and after awhile, an hour or two my crows feet were back to it's wrinkly appearance.

This product is supposed to take the place of Botox injections, or at the least the effect is supposed to be equal to Botox. I have not had Botox, but I have seen the effects, and the softening of lines for an hour or two is not the same. I would use this cream when I am going out for the evening or to an important event.

The product comes in a 5 oz. brown bottle. When you remove the top of the bottle, you pump a small amount into your finger and place on whatever lines you are interested in softening. There is a pleasant scent of lavender. I will include the list of ingredients, and the first couple of ingredients are water and shea butter. Shea butter may be the product that softens the lines. There are 45 ingredients which also includes polyvinyl alcohol.

Water, Perfluorohexane, Butyrospermum Parkii Butter, Perfluoroperhydrophenanthrene, Perfluorodecalin, Butylene Glycol, Dicaprylate/Dicaprate, Hydrogenated Lecithin, Polymethyl Methacrylate, Sodium Acrylates Copolymer, Magnesium Gluconate, C12-16 Alcohols, Palmitic Acid, Glyceryl Stearate, Isopropyl Palmitate, Methyl Methacrylate Crosspolymer, Glycerin, Phenoxyethanol, Prolinamidoethyl Imidazole, Cetearyl Alcohol, Menthone Glycerin Acetal, Glutamylamidoethyl Imidazole, Tocopherol, Lecithin, Stearic Acid, Sodium Cocoyl Glutamate, Butylene Glycol, Xanthan Gum, Hydroxyethylcellulose, Chlorphenesin, Sodium Phytate, Ethylhexylglycerin, Ricinus Communis (Castor) Seed Oil, Anthemis Nobilis Flower Oil, Silanediol Salicylate, Adenosine, Tromethamine, Linalool, Palmitoyl Hexapeptide-52, Polyvinyl Alcohol, Lactic Acid, Glycolic Acid, Palmitoyl Heptapeptide-18, Methylpropanediol, Lavandula Angustifolia (Lavender

For short term effect, this product will soften fine lines.

Recommended For Short Term. prisrob 04-27-15",Short Term Only,1430092800,24.0,
26594,5,False,"05 11, 2015",A3TJSWA0W9ITYE,B00LU1XS3O,,Emily Volenec,"I've been using this for a couple of weeks now, and I really like it! It is more like a lotion than a serum, and it goes on smoothly. I use about a dime-sized amount for my face and neck. It also has a nice smell to it, which is more than I can say for some products I've tried. After using this product for a couple of weeks, I can see a noticeable difference in two problem areas. I am starting to get Crow's feet around my eyes, and I have wrinkles on my neck from weight loss. Both areas are starting to disappear. This gives me hope that with continued use, they will completely disappear. I highly recommend this product based upon my own results.",Works like a charm!,1431302400,,
25039,5,False,"02 19, 2017",A2TBZAC0XYHLIB,B00IFVVK9Q,,Mary,"I have used Obagi products in the past and was very happy with them. This eye cream really does help reduce fine lines around the eyes.  I was also surprised that it smoothed out the area below my eyes which have lost fullness as I age.  That area doesn't appear as sunken in now.  The pump provides an easy way to get out just the right amount for application.  I wish more products incorporated a system like this.  Yes, these products are expensive but until recently, they could only be purchased at a doctor's office.  I did have eyelid surgery twenty years ago and use a more expensive cream around my eyes to keep that area in good shape.",Works for fine lines,1487462400,,
18013,5,True,"09 3, 2013",AMCHLVS2PM9X6,B005CX2DTQ,{'Style:': ' Infustion Trio'},KatV,I'm glad I ordered this serum pack.  Love the way it makes my face feel after using the NuFace toning device.,Wonderful!,1378166400,2.0,
6047,4,False,"02 3, 2017",A3AO77W3NW2N9G,B0013A6NFM,,Lawtooth,Works well,Four Stars,1486080000,,
