,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
577775,3,True,"12 30, 2014",ARE17OJYCRDPJ,B00JTGEVJC,,CMorley,These were really cute but cheaply made. One came stained and a zipper fell of another almost immediately.,Three Stars,1419897600,,
168121,5,True,"05 14, 2016",A2YRWNGSR8R80T,B000GWE8TQ,,Linda U.,These pencils are great!  The go down very dull but when you apply water.....WOW!!!  The colors are so gorgeous and rich and vibrant.....they pop right off the page!!  They are fun and easy to use and you CAN use them in adult coloring books if you don't use tons of water. (It works best with the one sided pages). I recommend this product!,Recommended,1463184000,,
247789,5,True,"09 30, 2016",AEXPQJCR23F4M,B0016T9MXK,"{'Size:': ' Letter - 8 1/2"" x 11""', 'Color:': ' Smoke Gray'}",Ruby S.,Fast shipping and excellent product!,Five Stars,1475193600,,
539959,5,True,"09 24, 2016",A2EXNZD82YVTU3,B00EZ956EC,{'Color:': ' Blue'},Trammi,Used this company for my wedding stamps and again for my business stamp. Works great. I recommend them.,Great product,1474675200,,
523845,2,True,"03 23, 2017",A13713ZQFYUY07,B00D3P7I0E,,GoogahDad,This tape is either too sticky or too weak in certain sections. The sticky won't stay on the tape as it's supposed to. The sticky from the back of the tape sticks to the front of the tape and it's gotten worse as I get closer to the center of the roll. The tape is in an air conditioned house. Disappointed because I really liked how the letters FRAGILE were large and red. Now anything that has this tape on the outside of it...is sticky. I don't think i'll give this tape another shot because there are too many other options out there.,Disappointed that the sticky side comes off on the front.,1490227200,,['https://images-na.ssl-images-amazon.com/images/I/51Y9ZnDWNdL._SY88.jpg']
288451,5,True,"01 11, 2012",A2RXYLIKZA98PG,B0015N2J9Q,,Monalynn,The product came in a timely manner and was exactly what I had ordered. Also the price was comparable to other on line buying sources.,Exactly as epected.,1326240000,,
757880,5,True,"09 1, 2015",A1PB9PQ4WIBFW9,B00139YKH6,,Angelksses in MD,I used these to make display cards to advertise my Amazon books. They work great. I was able to get all three of my books on the front side of the cards.,Nice and easy way to advertise,1441065600,,
755520,5,False,"08 26, 2016",A3UP52GUBVWIV8,B000SHSG2O,,j_kev,Excellent item!,Five Stars,1472169600,,
732219,5,True,"10 24, 2017",A8O9YKK504VQ4,B01EWLJ23S,"{'Size:': ' 5.83in *4.33in', 'Color:': ' White Raspberry'}",Amazon Customer,"Expected this to be big,haha!",Five Stars,1508803200,,
460369,4,True,"02 9, 2015",A33D4F449P5PJA,B006UGS7IK,"{'Size:': ' 3"" x 5""', 'Color:': ' Blue'}",Troy McLees,No comments,Four Stars,1423440000,,
750095,5,True,"04 3, 2018",AWEL24GRGSI4S,B0006HXBJO,{'Color:': ' Hunter Green'},Jane S.,arrived as promised,arrived when promised,1522713600,,
606861,5,True,"08 14, 2016",A1KR9W8EGWA852,B00N335R9K,{'Style:': ' Printer'},Amazon Customer,This is an incredible printer extremely fast with unbelievable quality printing and photo printing also. I bought one of these for myself and this one was for a loved one. Would absolutely recommend this Printer,Excellent Product,1471132800,,
203978,4,True,"03 8, 2016",A1G6A15N13TKA3,B000UV7TI0,"{'Color:': ' Black', 'Package Type:': ' Standard Packaging'}",michael,writes well.  a bit heavy but overall great.  still concern about the thin clip.,a bit heavy but overall great. still concern about the thin clip,1457395200,,
127683,4,True,"03 1, 2016",A3U3G5XLDLE9ZS,B0006HXNGK,{'Style:': ' Pack of 12 Pencils'},Sean Ali,good,Four Stars,1456790400,,
225116,5,True,"09 16, 2016",A2XHRHVNUA5EQ0,B0011459QE,{'Size:': ' 4 Ounce (1-Pack)'},Jill Anderson,Seriously the best!  Why sew anything when you can just use this?!,Seriously the best! Why sew anything when you can just use ...,1473984000,,
318602,5,True,"07 13, 2013",AG9Z5SAMLFO30,B001CJRM36,,Patty V.,I use Post-It notes everyday at work.  They are great to use for daily reminders and to use for reminders that I may not need for every day work.,Great product/great price,1373673600,,
32785,4,True,"11 20, 2016",AX4PYJQJM3AQR,B00006IAKM,"{'Color:': ' Black', 'Package Type:': ' Standard Packaging', 'Style:': ' Pencil Cup Organizer'}",Amazon Customer,Kinda small but works,Four Stars,1479600000,,
10106,1,True,"02 15, 2014",A3K8H26L9TJIF6,B00000JRRD,{'Format:': ' Personal Computers'},Dan Macomber,"This seemed like a good buy, but the hand rest part where the palm goes has literally caved in.. It's like buying one of those never-deflate pillows and getting one that turns mushy after you use it for  a few weeks. This thing is piece of s***--period.",Why should a gel pad mold permenantly into your hand?,1392422400,,
735446,5,True,"05 15, 2017",A3L4HM1JFBC2FD,B01FT6XUYC,,Rik,"great product, right price!",Five Stars,1494806400,,
514518,5,True,"02 5, 2017",A3O96LHLJQONKA,B00C7ZKELG,,Emlyjo,Love this! It keeps me on task! I even use an erasable pen and it has lasted for a long time!,Love this! It keeps me on task,1486252800,,
511548,4,True,"09 9, 2015",A1YT72NBWI0TA,B00BWLFK56,,Buys A lot,No problems here.  We use these on low pile commercial carpet.,Just as expected,1441756800,,
177253,5,True,"11 16, 2012",AJ3J6EYVVIPVC,B000J0B9P6,{'Color:': ' Silver'},Scott Hugo,The stapler is effortless. I'm really pleased with this purchase - I've had it for a few months and it seems to be of great quality materials.,Worth the higher price,1353024000,,
28742,5,True,"01 13, 2013",A1IQA00NDRJX3G,B00006B80P,,Patti Mcclure,"These CD labels are great, but beware, they are not for DVDs unfortunately. Some DVD players will still read the DVD with the label but some won't. Price is excellent and they do work perfectly with the label stomper.",Great purchase!,1358035200,,
791622,4,False,"09 30, 2015",A3TPNC3TKGCCEI,B00W7VEDQC,,Ms. Rocki,"These are cute pre-cut textured tags by Avery. What I've noticed about printing on these tags:

- The texture keeps the printer from laying down ink 100%. Some paper will peek through in places.
- Any parts of the pre-cut paper, if it's not laying flat, has a chance of getting folded in the printer. I've had it happen to me.
- Avery provides an online web label creating program with lots of creative choices to make dynamic labels without having to use a fancy program of your own on your PC or tablet.
- Each sheet is 4 x 6 inches and holds 3 labels each.
- Labels end up getting printed off center. You may want to take the time and extra scrap paper to get the scale and position correct before printing on the tags.",Great labels for crafting with less than perfect alignment issues to deal with.,1443571200,,['https://images-na.ssl-images-amazon.com/images/I/71WLViJXTQL._SY88.jpg']
655999,5,True,"10 25, 2017",A3663MZS5O85V,B00WJDWGA8,{'Style:': ' Single pack'},Kevin Rasmussen,great,Five Stars,1508889600,,
430197,5,True,"12 13, 2013",A1R1S49TL7CIUO,B0055EB924,"{'Size:': ' 2 Pack', 'Color:': ' Black'}",Lance J. Goyke,"Nice option if you want a thicker ballpoint pen. I like it a little less than the thin tips, but I can use it for different things. Like if I need to bold a heading (shocking usage, I know).",Nice thicker alternative,1386892800,,
411199,1,True,"10 20, 2014",A16WLNBWXNYSGU,B004IX24MW,,William Totten,"First was nothing like picture, replaced, still nothing like picture, REFUND!!!!!",Nothing like picture.,1413763200,,
400540,4,True,"02 2, 2015",A3PGA5ILLM5NCP,B0045TFR6Y,{'Color:': ' 0/ Flat Cover / Black'},MTrinkaus,"It's flimsy metal, you could bend it very easily with your hand (or butt). I keep mine in my front pant pocket or bike bag. Works fine there.",you could bend it very easily with your hand (or butt),1422835200,,
361867,5,True,"03 20, 2016",AFJ9D90UDRVC9,B0027ZCXRO,,Natalie,"better than double sided sticky tape, this is meant for clothes",Five Stars,1458432000,,
108738,4,True,"09 29, 2017",AO2RDIRGZNE35,B0001N9WNW,"{'Size:': ' 12 Pack', 'Color:': ' White'}",ROBERT MARTINELLI,Company delivered a quality product as promised,"Good, inexpensive binders",1506643200,,
740351,5,True,"12 27, 2016",A1W97AAM59K7HT,B01GQS2ZCA,,Berkshire484,This unit works well with the printer and I especially like the oversize black ink unit.,Nice,1482796800,,
645474,5,True,"03 11, 2018",AWKVIUUWF0ZWB,B00UHJC480,"{'Size:': ' 8-Count', 'Color:': ' Assorted Core Colors', 'Package Type:': ' Standard Packaging'}",kathryn Giallonardo,I love these!!!  And the price!!!!!!  GREAT!!!,Love these,1520726400,,
756627,5,True,"12 10, 2015",AL4LWN3Y0PC5X,B000X7R30U,{'Size:': ' Each'},Adrian Mesa,Worked great for the certificates I sent out to people who volunteered with our foundation.,"Looks nice, professional.",1449705600,,
50059,5,True,"01 27, 2017",A256HE0E5GVKEX,B00006IEAM,"{'Size:': ' Box of 12', 'Color:': ' Violet', 'Style:': ' 0.7mm Fine Point'}",Marianne Owens,Love these pens. They write very smoothly,Good pens,1485475200,,
