,overall,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style,image
1985843,5,,True,"12 4, 2016",A2FLSXD37778AF,B001LISK70,Birdy,"My Lil bird buddy digs her Roudybush. Pair with fresh fruits, veggies, morsels of people food, and I also give her another pellet mixed w this one for a five star gourmet bird dining experience.",Bird approved,1480809600,,
1467654,4,,True,"02 15, 2017",APZIUONGDINRD,B00H6OXRN0,CEE,"These are great bowls for our cats. Shallow and the edges are not too straight. They hold a good amount of food, but I don't fill the dish full. I used some washable shelf paper to keep them from slipping.",Been looking for good cat bowls....,1487116800,{'Size:': ' 13-Ounce'},
1539642,2,,True,"08 22, 2017",A3TYRQNS1G86ZV,B00K2DG8UG,Brian,"Haven't been able to test it out yet... there was no battery for the collar included, so I'm going to have to go out and buy one. I checked high and low throughout all of the packaging but there was no collar battery inside.",No Battery In My Package...,1503360000,,
1467093,2,2,False,"09 14, 2011",A2F0IUNCUBKAAG,B00H4GPE9A,D. C.,"The reason I purchased this product was I saw it on TV and thought it sounded to good to be true, but I felt it to be worth a try. I think it is a good idea, but for the results achieved it is a bit expensive.  Fabreeze works better in my opinion. It really didn't eliminate odors, they do go away for a short time but come right back. It does not stain hardwood floors. I used it in my truck and had the same lackluster results. In my area there are only two stores that sell it and the closest is 50 miles away, according to my web search. It is not something you can purchase at the bigger well known stores and when you add shipping to an online purchase, it is cost prohibitive, but I wanted to try it and I did.",A disappointment,1315958400,,
1570566,5,,False,"01 30, 2016",A2IVL5C1E6JZI8,B00LIX5CBU,Brooke,"My cat loves these balls, must be the material too. Their soft so that he can put his claws or teeth in them. Their easy for him to play with.",Kitty loves them,1454112000,,
1364320,5,,True,"11 2, 2015",A7RWNKILGF04T,B00CESGACI,Con,"It's perfect for my dog, I got the length to be just right so she cannot jump through the window, and also it stops the seat belt alarm to sound.",It's perfect for my dog,1446422400,{'Color:': ' Black'},
909039,3,28,True,"06 15, 2011",A3LS9YCADGEVQP,B002BX8ZKQ,Rockermama,"I have been searching for something to carry my 9 pound rat terrier and have ordered several different 'ideas', only to return them all. I really wanted this bag to work and I did like the concept. My dog liked being in it but for myself, it didn't work. If the straps were longer and more adjustable, it may have. I wanted them to cross the body and they are too short to do that. It would not work well as it would aggravate my shoulder, neck and back after a short time. A lighter dog would probably work but the bag might then be too big. The product is well made and comes in great colors. Similar to a diaper bag and I may try one of those. They have longer straps.",Works for small dogs,1308096000,"{'Size:': ' Medium', 'Color:': ' Brown/Orange'}",
16387,2,,True,"08 18, 2016",AC27IF1YBN5J3,B000084EEF,Dhuff,Neither of my cats have ever played with this toy even with the cat nip added...,Don't purchase,1471478400,,
2022973,3,,True,"01 8, 2018",A24YATZK2JF7IR,B0095LX2TG,Mitzie,I have little dogs and these were hard and the fish rap was too hard for them to eat. These would be much better for big dogs.,These would be much better for big dogs,1515369600,,
1265736,5,5,True,"05 13, 2017",A3FZQ32XSSIV07,B008Y527PE,FishyBirdMLS,"<div id=""video-block-R2ICEHDO9BFPM7"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/912UX92NulS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/91xwAijMD0S.png"" class=""video-slate-img-url"">&nbsp;I got this because I saw how crazy my friend's young adult cat went with this toy. I foster kittens, and they all run and leap for it excitedly. I can move it above their heads, drag it along the ground, or just leave it out for them to play with! If I leave it out on the ground and one kitten plays with one end, the other end will move for another kitten and vice versa. The little pieces slide too, so they like to slide them around the wire. This also makes it more fun to even them out, hold the wire by the middle, and play with both ends in the air at once. Just be a little careful because before I got used to the feel and the willy-nilly of the wire, I wacked them a couple of times with it. (They didn't seem to mind, but it's worth noting.)

Might have to get another for my adult adoptee :)

UPDATE: Adult adoptee isn't terribly interested in it. More of a young cat thing I guess. Also, my 6 fosters tore the rolls off in about 2 weeks. Not a complaint at this price at all. Our fosters all got adopted, and we got a new cat dancer for the one kitten we kept. It's been in tact for a few weeks still. It DOES get caught in things like the carpet and string toys.

UPDATE: ADULT ADOPTEE IS ALL ABOUT THIS. Short video attached. She's the one with more white. Sorry for the floors - It's vacuum day :P",Kittens love this toy!,1494633600,"{'Size:': "" 30'""}",
1010531,5,,True,"03 13, 2014",A27NWX193CA41M,B0042I5G2I,Kindle Customer,These are a lot of fun to play with the dogs with.  They love them.  I would say they would be good for dogs or cats.,Tail Teaser Dog Squeak Toy,1394668800,,
1179960,5,,True,"02 25, 2016",A2IX4C0D5J4XHU,B006GZYPZY,Fanny 2016,"Not only do my bluebirds love these nuggets, but, my Blue Jays, Cardinals, and Mocking Birds love these suet treats probably because they are small enough to get a hold of and fly off with! LOL!",Drive Through Treat For Birds,1456358400,,
1592588,5,,True,"07 5, 2016",A2GUV57F4541ZE,B00MR4HCG2,Tracy,A+++,Five Stars,1467676800,,
858572,5,,True,"05 4, 2015",A13CHLDSFAGRDH,B001RIDZ1A,Amous,Works well.,Five Stars,1430697600,{'Size:': ' 8oz'},
1858084,5,,True,"03 23, 2016",AAQTR88V57A5H,B01A0UKAOU,Stephen B,You can beast this product for the price. Quality assurance is a priority for the company and they communicate to assure you are satisfied.,Great buy for the money,1458691200,{'Color:': ' BlackOrange'},
1293743,5,,True,"03 13, 2014",A2GMWNW5X1GWVP,B00A7G47UG,Kathleen Edelmuth,"I say ""my leash"". Because I wear it around my neck so people can see me first since I am a lot taller than my two dogs.  People really slow down when they see me. Easy control button and good bright flashers",My leash,1394668800,,
536244,5,,True,"01 25, 2016",A2FGE94PJ5JRIC,B000XY7C7C,J. Savoie,"I use it on our big cat when he needs special care, and it works well. However if it was in continuous use, I don't know how long he would keep it on but anyway I'm happy with it",Good alternative to the plastic vet cones,1453680000,"{'Size:': ' Small 14 cm', 'Color:': ' Black'}",
1368785,5,,True,"07 24, 2016",AYDJ7R4KCCY6,B00CI4TFF2,Shannon C.,Chins love it,Five Stars,1469318400,{'Size:': ' 1-Pack'},
1060136,5,,True,"07 25, 2014",A3RCX0OI8RQG7V,B004RVOOAA,linda miranda,"great price, fit perfect for an 8 lb chi mix. she looks so cute in it.",Five Stars,1406246400,"{'Size:': ' Small', 'Color:': ' Pink'}",
1982303,1,2,True,"11 23, 2014",A2BQFOO15R2DZJ,B001B4TV7M,Cielo Di Bend,"16"" was actually 13 3/4"".  Be aware the sizing was off.  If I included the rings when measuring (not how normally measured) it was about 15 1/4"".

Weight of the chain was perfect.  Just what I was looking for.",too short,1416700800,,
464880,5,,True,"06 25, 2016",A2HQBFFOZ3YET9,B000O39TE6,D. Head,"My Yorkshire terrier is fascinated and crazy about this brush, he loves to get brushed with it after he takes a bath which he doesn't particularly love.  I had to purchase another one because he chewed the rubber off the handle on the first one.",Yorky loves it,1466812800,{'Size:': ' Extra Small'},
814033,5,,True,"06 29, 2015",A2KNUOR4R93TRO,B001FRCTEC,J Carter,"Just as described.  A bit smaller than I expected, but good product.",but good product.,1435536000,{'Size:': ' Large'},
489860,5,,True,"05 6, 2015",AVFH5MRQ6VJ4A,B000QOIX4U,Jennifer Hodges,Cats love to throw them around and play with them.,Five Stars,1430870400,"{'Size:': ' 12 Pack', 'Pattern:': ' Kitty Frenzy'}",
994215,5,,True,"09 1, 2014",A32JW8O7BZFDG4,B003TU0XG4,BB,This is a great tool.  I really do like it.  It works very well for sanding down a dog's nails.,Great dog nail sander!,1409529600,{'Style:': ' Pet grooming kit'},
1878908,5,2,True,"04 2, 2017",A2WYB31CM86696,B01BKYFR7K,Andy Davis,hAVE 5 CATS THAT AARE DOING FINE.  IT RERALLY HELPS.,MEOW!,1491091200,{'Size:': ' 22 lb.'},
2064802,5,,True,"02 8, 2018",A29ZQEE7DICDVM,B00RDW2Y6G,Jennell,Wonderful product. Fit him perfectly.,Five Stars,1518048000,"{'Size:': ' Small', 'Color:': ' Black'}",
1615566,4,,True,"06 20, 2015",A2ZZY67QT307BR,B00O09O3E6,P. Smith,I have 9 rescued cats and it seems I'm almost always taking one or more of them to the vet. The regular hard sided carriers are hard to maneuver and seem several times heavier than the cat. I saw someone using one of these and thought I should try it. It is much easier to carry -- leaves hands free if you use the shoulder strap -- so I can open doors more easily and carry things. I didn't know what the cats would think - but several of them crawled in before I could put it up. I took turns carrying them around and they all stayed calm and seemed comfortable. They didn't even want to leave when I opened it. I took off one star because it seemed used. There were some small brown stains on it and there are frayed threads near one of the seams.,Huge hit for me and the cats,1434758400,"{'Size:': "" Large (18'' x 11'' x 10'')"", 'Color:': ' Blue'}",
1894781,5,,True,"07 2, 2018",A275JHDOX194H5,B01CY48NUI,Randi P.,Love this Blue!  My Pom fits perfectly. Its soft and comfy. Item is as described,Great carrier,1530489600,"{'Size:': ' Large: 19""L x 10""W x 13""H', 'Color:': ' Sky Blue'}",
1604773,5,,True,"06 12, 2015",A3359ZSL60P8VO,B00NAFQ99I,Dustin Moravits,Looks amazing on the 10 gallon! The fish look great! No plants in this tank because of our wild apple snail named Larry!!! Thanks again!,Looks amazing on the 10 gallon,1434067200,{'Size:': ' 20 Inch'},
1180357,5,,True,"01 17, 2014",A2XZ77PD8E3IP0,B006H77QCU,Crash,These look like chunks of duck and the cat did tricks just to get these.  He goes WILD when I shake the jar.,Cat went wild for these,1389916800,,
1808379,5,,False,"10 1, 2016",A3524RUTLQ06DL,B015GYFMX4,KansasLiving,,Five Stars,1475280000,"{'Size:': ' Back Length 16""', 'Color:': ' Midnight Blue & Dark Princeton Orange'}",['https://images-na.ssl-images-amazon.com/images/I/71O5yhY1jbL._SY88.jpg']
449734,5,,True,"10 30, 2015",A32NFU7Z7PM0PC,B000MD57PS,Teresa Lozano,My dog loves his little step and now I don't have to worry about his joints as much jumping off and on the bed.,My dog loves his little step and now I don't ...,1446163200,"{'Size:': ' 2-Step', 'Color:': ' Chocolate'}",
364030,5,,True,"01 2, 2012",A1SDBAWKHGJQ93,B000F4AVPA,K. Carlson,"My dog loves the Chuck It balls the best.  So does my sister's yellow lab.  They both love it so much they will drop the tennis balls and fight over this one which I guess is probably not a good thing.  We now buy lots so they don't have to fight over them.  We use them with the chuck it stick at Grammie's Lakehouse. They float great, clean up easy and are pretty durable.  They haven't chewed through one yet.",Dogs give this product 5 stars,1325462400,"{'Size:': ' Medium, 2.5-Inch, 2-Pack'}",
1303210,3,,True,"12 29, 2015",A60FRCIR7F52G,B00AIZ4WME,Christine,"Honestly its a totally servicable pet hammock.  However, it ripped on the first day my dog was in the car.  However, I keep use it out of cheapness to buy a new one and it works perfectly fine.  Next time I will buy a more hardy hammock.",I keep use it out of cheapness to buy a new one and it works perfectly fine. Next time I will buy a more hardy ...,1451347200,,
359805,5,,True,"01 4, 2016",A3RSSHKOYAP97F,B000ES7WNG,Kim,Will be very useful!,Five Stars,1451865600,,
822141,5,,True,"09 26, 2015",A3NM6IORHXRW29,B001ICHIFE,Emilicus,"My dog loves his new elephant toy. It hasn't fallen apart yet, and he's had it for a few weeks. I expect this toy to continue to last as my dog is not an intense chewer. For a more intense chewer, this toy may not be a great option; it is a plush toy. However, I will definitely be buying the other cute toys from this series of dog toys.",Cute!!!,1443225600,,
1499350,5,,True,"03 25, 2013",A253FZZR7LTV3O,B00II725UK,Beautiful Dreamer,"We have had episodes of elevated liver studies in 2 dogs.
This medication brought the levels back to normal.
There were no side effects noted.",Lowered liver values,1364169600,,
524686,5,,True,"12 28, 2016",A2T43R1FNUQLDE,B000WFKTWM,Cathy Franklin,My cats love this food,Five Stars,1482883200,{'Size:': ' 22 lb. Bag'},
1972762,5,,True,"01 13, 2016",A1TSP4A9C7E41I,B000PNCFK0,lisalisacats,I bought two of these to warm up my outside stock tank for my outside goldfish.  The tank is 300 gals and it's kept it a steady 65  which is where I wanted it.,Just What I wanted.,1452643200,,
1464334,2,,True,"01 17, 2017",A260VA43IJ0PYT,B00GYG54O6,MikeAkron,Pump barely working after a week,Two Stars,1484611200,{'Size:': ' MR-20'},
837824,5,,True,"06 24, 2014",A1LE0VV01B2LF2,B001MUI1TE,Liz C,"I've ""adopted"" two baby kittens, we have no idea how old they are, some are guessing two and a half months, I'm guessing one and a half. Tiny and stealthy, so I figured the bells would be handy so no one stumbled over a kitty. I have the collars on as tight as they'll go, but they're still a smidge too big. That said, the cats got a kick out of them when I put them on, played with them for a bit, but it didn't take long for them to adjust to having a collar. They look sturdy, and should last a while. These would be good for smaller cats, but larger cats are probably too big for them.",For the baby girl,1403568000,{'Color:': ' Raspberry Sorbet'},
497095,5,,True,"06 10, 2011",A1OXLCCN5XF21I,B000SQK3QW,adoih,"I have never seen my puppy so excited!!
it smells wierd for me, but i guess not for him.
32 ounce is a lot more than i imagined and im really pleased.
I bought 50 cents more expensive than the listed price now, but thats okay :p
Each jerky is too big for my puppy so I cut them into tiny pieces, which will allow the treats to lasts even longer. (but don't cut them too small because it may choke them)
Overall, it's excellent and i came back to order some more!!",happiest puppy i've ever seen,1307664000,,
17221,5,3,False,"11 9, 2009",AR7ERMVL822WL,B000084EYK,Lynne B,"I can't say enough nice things about Eagle Pack brand dog foods, especially their holistic line.  Cured my dogs of ear problems, hot spots and other intestinal problems quickly and my dogs love the taste.  It does cost a bit more, but well worth it when you factor in expensive vet visits and loss of sleep while the poor dog scratches and scratches while you watch helplessly.  Do yourself and your dog a favor and give it a try.  You won't be disappointed.",Eagle Pack Holistic from a 12 year devoted customer,1257724800,,
