,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
3689,4,False,"12 5, 2008",A316XO4RWX21YN,B001CQDOR2,,Jonathan D,I think the best thing about this product is its size and the fact that it is powered by the USB and not an external AC adapter. Works just like advertised. Could be a bit faster. Wish I had received the mac version but if you are running Windows on your mac it will work.,good things come in small packages,1228435200,2,
3036,3,False,"05 21, 2008",A22TZUXUKA11SQ,B000Y7Y6IQ,,K. Hinton,"As an Excel devotee, I can say that Microsoft Accounting Professional 2008 is an easy convert for someone who's never used accounting software. It has a variety of templates that allow you to set up ways to monitor and track expenses. It has features like how to create purchase orders, track inventory, and run payroll, etc. As a small business owner (very small, employees = 1), I didn't really need all the extra features, but the ones that I did use were pretty intuitive. It does, however, allow me to bill clients an invoice using Microsoft Outlook, and with a nice, professional looking template to boot. It provides easy integration with Excel, allowing me to transfer business reports between the two seamlessly. As a whole, I wish I'd gone with the Express, which is the free version, because supposedly it's got less junk that I don't need to bog down my time, but for the features, I'd recommend Accounting 2008 to a small business owner.",Easy to use and intuitive,1211328000,,
6961,3,False,"01 15, 2013",AXVKMYWNIHK7W,B009716HMI,{'Platform:': ' PC Disc'},3kids@home,"I cannot write a review on this item, it won't work on our computer, we have Windows Vista, and it just won't load!",photo director,1358208000,,
11856,4,True,"02 5, 2017",AGYH5U11ZKPFB,B01637RFR4,{'Platform:': ' PC Download'},jenksdrummer,"Used this last year, guess I never wrote a review. Does the job. Still hate that they charge $20 to submit state taxes.",Does the job. Still hate the $20 state-filing.,1486252800,,
6408,1,False,"04 22, 2012",A2LW5AL0KQ9P1M,B0078YKR0O,,Dr. E,"Listen to the words of the reviewers who tell you that this product is unnecessarily troublesome to install (it took me three attempts to find success). Listen to the words of the reviewers who tell you that this product freezes (it happened to me four times ... and then I cleansed my system of it.) And, truly listen to the reviewers who inform you that this is ""bloated."" My Alienware is under a year old ... and I can feel the drag of this software. On a new computer? I cannot imagine what it would be like on an older computer.

As a number of reviewers noted, after every less-than-glowing review is a boilerplate comment from the company. They ask for more details about the errors. Anyone else have the impression that this product wasn't thoroughly beta-tested? Or maybe that people are paying nearly $100.00 to be beta-testers? That's a shame.

If this were freeware, I would have still uninstalled it (and I would have still used a cleaner after it). At nearly $100.00, I cannot imagine how anyone can think he/she is getting a product that reflects that (hefty) price-tag. A true disappointment.",A Disappointment ...,1335052800,29,
9025,4,False,"05 14, 2014",A30IP5D5DLHRPA,B00IIL0SCS,{'Platform:': ' PC Disc'},Kyle Slayzar,"As a hobby, my buddies and I started a youtube channel devoted to gaming and each of us (crew of five) have editing software of some kind.  I use Final Cut Pro X (FCPX) on my MacBook Pro as does our executive producer while the other three use Windows and, unfortunately with the updates from 7-X making it incompatible with Windows, they have to use other software for editing.  We were thinking of acquiring a few licenses for Adobe Premier as some of us had used it before, but were very fortunate to be able to try Corel VideoStudio Pro X7 and Ultimate Edition (see ultimate edition for related review).

Our co-producer and primary screenwriter tested Corel Pro and, after a month of use he has produced several video prototypes that look almost as good as FCPX albeit with some missing features that are in the Ultimate Edition.

Our screenwriter (Barnard) noted that the editing interface was incredibly comprehensive with your standard storyboard tools and clip editor very similar to FCPX.  He loves the selection of transitions, text editor, features generator (blank screens, shapes, etc.), and much more but laments that it lacks the smooth streamlined feeling of Final Cut.  Perhaps it was his older computer (Windows Vista, yick!) but he did notice a few moments of technical delays and lacking smoothness of operation.  Oh well.

All in all, Corel Pro is good for any amateur filmmaker or personal creating fun family videos that doesn't want to shell out well over $1000 in Mac products for industrial quality.",Quality AV for those Who Cannot Afford Mac Products,1400025600,,
2552,5,True,"05 17, 2009",A215WH6RUDUCMP,B000VJTL1Y,,JDuB,"I'm no professional photographer but I love taking pics and scrapbooking, so this helps a lot!  I was using shutterfly but that takes forever to upload the pics and you can't do everything you can with this.",Great Home Studio!,1242518400,,
5640,1,False,"12 5, 2011",A1BKJNAWJT2TG2,B0056CZC2S,{'Format:': ' CD-ROM'},Southern Mississippi,"The process started with 4 1/2 hours to install this program.  Next came the email issue--which took hours more to set it up.  It essentially took an entire day to install and set up, occupying the computer and rendering it useless for any other tasks.

My husband is STILL complaining about the damage wreaked on the laptop by this security software. For experienced users, this was way over the top in terms of its invasive nature and slowing of the computer.  It undoubtedly prevents any kind of invasion from the outside world, largely because it nearly severed the connection with the internet because of how it slowed the system down.

It cataloged and re-organized his email too--deeming most of it as ""spam"", regardless of what his original sorting of it really was. It marked every single ""safe"" sender in Outlook as spam, and completely erased all of his gazillion rules managing the email. It also stopped future downloads of email into Outlook until the software was removed from the computer.  It also eliminated all RSS feeds.

It completely prevented working on websites--it regarded everything as ""malicious"" or ""suspicious.""  (For the record, this was a laptop with a dual core processor running Windows 7 Ultimate x64.)

All in all, it lasted a week.  It was a disaster, and two weeks later, he still rants about the havoc.  It was not easy to remove either, leaving traces of itself in many locations, resulting in a lot of ""clean up"" work being required, in addition to the time fixing Outlook.

On the plus side, for inexperienced users who don't work on websites or manage mega-email, it's easy to use and seems to do the job it is intended to without disrupting their surfing, email, and other typical tasks.  It has to be set on moderate or minimum security level in order to work.

We've used McAfee, Norton, Trend, NOD32, AVG,and BitDefender in the past, in addition to Microsoft's Security Essentials.  We have never had any security suite wreak this much havoc or be this much of a problem, on ours or anyone else's computers.  We've liked some and disliked some, but this has been ranked as the worst software decision we've ever made.  According to my husband, the only thing worse would be Windows 98 running an AOL browser.

There are better products on the market than this one.","Not for experienced users who work on websites, etc.",1323043200,13,
1963,5,True,"12 28, 2007",A1NV2F2U3EAK25,B0000AZJY6,{'Color:': ' 0.5827000106'},Robert E. Orlando,"As with all Sonnet products I've used, this one works without a flaw.
Just installed it and started using it.
Sonnet really knows how to make products for the Mac.",Well crafted product.,1198800000,,
10220,1,False,"12 31, 2015",A10S3TPJ3WUPHF,B00O66G5PS,,MJE,"Stinks!  All they want is cloud subscription.  Don't buy this if you hate more monthly or yearly  payments. User interface is really bad.  I was going to detail what is bad, but the list got so long I decided to just say forget it!  Note: After  months of using this software and two major upgrades it is still bad!  The last update  on 4/29/2016 (Win 7 Pro) caused errors on my computer -""Acronis Stopped Running....."".  I tried to uninstall and reinstall, rolled back registry all to no avail.  I finally had to restore using an earlier backup.  So backup software that is supposed to protect my computer caused me to have to do a restore.  What is going on at Acronis?",BAD BAD BAD! They only want subscription cloud service.,1451520000,,
8320,5,True,"06 14, 2014",APUHDJ6QURQIM,B00EZQYC8G,{'Platform:': ' PC Download'},Fallible Human,"One downside is that your subscription days do NOT add to the days you have remaining, but replaces them (If you upgrade directly through the program it does add to your days, but it usually costs at least twice as much for some reason). Because of that, you should wait until you only have a few days left on your subscription.",Waaaaaay cheaper than buying direct from Norton,1402704000,,
9653,5,True,"10 22, 2015",A3JJNSW1XHXX9B,B00MHZ6Z64,{'Platform:': ' PC/Mac/Mobile Download Code'},HealthIT,"Norton rebuilt it's software a few years back and it's pretty reliable now.  I work in IT.  Most people that say it's a resource hog either are on old versions are on pc's from 1990...

It's super simple setup so you can set it and forget it, and if you're into configuring ports and program access, the options are there.  It's a solid antivirus and firewall.  Norton online access makes moving licenses between devices seamless.",... rebuilt it's software a few years back and it's pretty reliable now,1445472000,,
275,5,False,"12 5, 2011",AR7RVZZQDW6B3,B000050ZRE,{'Color:': ' 0.2235828959'},Gadgeteer,I used this item in an older laptop that had only wireless G.  It is a perfect upgrade due to the super small form factor.  It does tie up a USB port but you can hardly see the adapter once its on.,Works Great,1323043200,,
10584,5,True,"07 25, 2015",A2D9VD96W8PADC,B00SKYNTA6,,Thomas J.,Avast Free Mac Security seems to be working very well on my new iMac. I also paid a yearly subscription after reviewing the free version.,Avast Free Mac Security seems to be working very well ...,1437782400,3,
9702,5,False,"03 13, 2015",A1EQ5D5JRSW23K,B00MILM2FA,{'Platform:': ' PC Disc'},Erol Esen,"If this is the first time you're getting a WillMaker, then this is it. If you have the previous version, you probably don't need it. This version has same features, but seems to be a little more responsive--not very noticeable.",slightly better than the previous version.,1426204800,6,
2082,5,True,"01 30, 2010",A3NHUQ33CFH3VM,B000WMQYLA,"{'Format:': ' Box', 'Platform:': ' PC Disc'}",Greeny,"Not too long ago, I wrote a 20-page business plan just from scratch.  Maybe that was a good exercise but I'll never do it again.  It was too time consuming.  This software makes the job easy and dramatically reduces the time versus writing from scratch.

The time saved and professionalism in using this software even once will justify the investment.  After all, one does not write a business plan without intending to invest money in startup costs.

Another advantage is the completeness of a work product from Business Plan Pro 15th edition.  It's doubtful one would independently design a business plan that covers as much ground without this software.

I had always thought writing business plans was tedious and therefore many people simply have it in their heads.  It's mush wiser to generate a bone fide business plan, but use a software tool to save an incredible number of hours.  The interview process makes the job relatively painless although you still have to make decisions.",Huge Time Saver,1264809600,18,
718,5,True,"09 29, 2011",A23BZ2NURE3RNX,B0001FS9NE,,W9WTF,"I was looking for a way to connect multiple devices to my Yaesu FT-897 Amateur Radio. I had 3 devices that needed access to the 1 socket in the radio. (a CAT cable for computer control, a linear amplifier and an AT-897 external tuner) After switching the plugs out manually for a few weeks, I happened to see this product during a search for a multi-port switch. The price was much lower than the 2 port switch I had been considering, so I ordered it. Delivery was quite prompt and installing it to my station was easy. I'm very happy that I ran across it before ordering something less capable.",Just what I needed,1317254400,,
6161,5,True,"02 19, 2016",A3D4ZY01BBKYV7,B005S4Y13K,{'Format:': ' Software Download'},BryanRTX,TurboTax downloads from Amazon are great! In minutes you can have access to TurboTax without a trip to the store.,TurboTax Without Trip to Store,1455840000,,
11,5,False,"10 13, 2010",A13700AF4X40YG,0321700945,{'Format:': ' DVD-ROM'},Loves Books in MD,"As someone who has just upgraded from Lightroom version 2 to the new version 3, I got this to bring me up to speed on the new features. I thought I would just watch the video clips on the new items as I needed them. Boy was I wrong... this is so good that I ended up watching every one of them from start to finish.

This package consists of a DVD and a small book. The book has a chapter on being a better photographer and another introducing the new features of Lightroom 3. The DVD contains the videos and a dedicated video player.  You can either use Internet Explorer or the player to view the content. My recommendation is to use the player.  It's full featured... a nice menu system, resizing for the screen, and the normal control buttons (stop, pause, play, etc.). The nicest feature of the player is the ""Work Along"" mode. In this mode, the video plays in a small window while you're working in Lightroom. This lets you try the commands along with the video.

Video and audio quality is excellent. The 2 instructors do a great job. They don't get over technical and keep a good pace. Not only do they present the material, they also give examples of how they use a Lightroom feature or command in their own workflow. This product would be perfect for someone new to Lightroom or a seasoned user looking to learn the new version.",Learn Adobe Photoshop Lightroom 3 by Video (Learn by Video),1286928000,,
8490,5,True,"04 5, 2014",A3NMEF3MJ0A3PL,B00F8K9MZQ,{'Platform:': ' PC/Mac Disc'},R. Callicotte,We found this answered all of the questions we had last year about certain deductions. Much more straightforward and quite an improvement since last year's taxes with this same software. We have used TurboTax for years and found it's accurate and so much cheaper than an accountant.,Works Fine and Even Better Than Last Year,1396656000,,
