,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,review_clean
0,860249,5,True,"04 21, 2016",A3M0F31OXQ9SDB,B007RRMVA6,{'Color:': ' Crystal Black Pearl'},PJ,It was a perfect match for my 2013 Accord EX,Perfect match,1461196800,,,match perfect accord ex
1,15731,5,True,"08 28, 2014",AIQCGP5AQD2R2,B00029CYRG,,Mike D.,great product fast shipping,Five Stars,1409184000,,,ship product great fast
2,1358194,5,True,"11 4, 2017",A2ALV8U12QEC8C,B01AHVND4Q,{'Size:': ' T10'},North,I LOVE IT.beautiful white & bright enough. have a 2013 mini cooper & tried a couple different brand but all shows error. Finally I find right error free led for  front parking light/daytime running light. It works like a charm.,"It's error free led ,It works",1509753600,,,cooper park free enough show couple find bright run different light lead like tried brand white love right it.beautiful work finally mini light/daytime error front charm
3,881843,5,True,"03 19, 2015",A2RRJ5SHOCWW66,B008Y56UUC,{'Size:': ' X-Large'},Tyler Smith,Work great! Saved my hands on the first use.,Great protection,1426723200,,,great use work first hand saved
4,395505,5,True,"01 7, 2015",A35HF1816694ON,B0010E00T6,,HailofaGuy,Worked great in our 2013 Honda Accord Sport.,Worked great in our 2013 Honda Accord Sport.,1420588800,,,great honda accord sport work
5,1171772,5,True,"07 4, 2016",A2FDB2UKOVAPZI,B00O041NX0,,occam&#039;s razor,K&N is always the way to go,Awesome,1467590400,,,always k&n way go
6,326763,5,True,"11 27, 2016",A2EU9RIYI1KN5P,B000MYE398,{'Size:': ' 13 Ounces'},John C.,"Does the trick, I noticed that compared to a chain where I used the walmart special stuff, this has prevented wear for twice as long. My riding style hasn't changed, so I can only attribute it to the lube.",Good Stuff,1480204800,,,wear compare prevent lube twice use special style stuff walmart long rid trick change notice attribute chain
7,779319,5,True,"01 23, 2016",A35SPUL3CNZLB3,B005HR3PU8,,Brandon U.,"Pretty simple, they did their job, and they did it well.","Good, Tough Gaskets",1453507200,,,well simple job pretty
8,1622233,5,True,"04 15, 2018",A9Q7ROV3ZBOX4,B00CO24YVS,,Kindle Customer,These pads wrk great,Perfect fit,1523750400,,,pad wrk great
9,1459022,5,True,"02 18, 2018",A2BMKWGVSVHNAX,B000CGRPNW,,Ryan Garretson,Perfect,Five Stars,1518912000,,,perfect
10,713604,4,True,"11 22, 2017",ACVU7OORPTPVX,B004EIAADG,{'Style:': ' Power Source'},Rob,"This is very versatile. I've used it to get AC power in remote places and I've used the tire inflator several times. I've used it to give other's a jump start. The only reason it did not get Five Stars was due to the depth of the 12-volt outlet. I have several items that cannot be used because the socket is too deep. I may try to improvise by putting a nail inside a cork and putting that inside the outlet, but I wish it were not that deep.","12 Volt Socket Too Deep, but Otherwise a Great Product",1511308800,,,give get several reason socket power due versatile put use nail i've remote improvise other's item cannot deep star tire cork place depth outlet inflator try may jump ac start inside time wish five
11,406440,4,True,"08 21, 2015",A2FWNRYY8JC2TH,B0013FIMUG,,Colin,"02 Grand prix w/3.1 put about 5,000 miles on, works fine.",Fit,1440115200,,,fine prix grand put work mile
12,405459,5,True,"07 29, 2015",A3PC323D9M914D,B0013916XW,,A H,These are great. Just clean the door sill and peel off the adhesive and put them in place. I've had them for a year and a half and definitely do not regret them,Good protection,1438128000,,,regret door definitely great i've peel clean put adhesive sill year half place
13,427670,5,True,"11 9, 2014",A2GBF1MT8DOSPB,B0017KJ0A8,,Carl M. Nechtman,Looks good and comfortable to shift,Fun Jeep accessory,1415491200,,,look comfortable shift good
14,269766,1,True,"08 4, 2016",ARW3XDAYX1CBH,B000FQ2106,,Miguel B.,"Well it lasted all of 3 weeks before cracking and drying out. What a horrible product, if you want a real boot, go oem not this knock off junk.","Stay away, degrades very fast.",1470268800,,,horrible knock week crack real want oem go well dry product boot junk last
15,1288559,5,True,"01 23, 2016",A1JC9YO2WQIUVE,B011W0YPC0,,Willard G. Johnson,"bought it to put on the back of my vette. the blue is very close to the lemans blue of the car. white lettering. caption read, top: MY OTHER RIDE IS A, bottom: SILVERADO.  this fit perfectly... bought a second frame for the back of my Silverado that reads, yes you guessed it my other ride is a corvette. they both look great. will see how they survive Washington weather.",bought it to put on the back of my vette ...,1453507200,17.0,"['https://images-na.ssl-images-amazon.com/images/I/81g4UZZXFIL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81VJ8bXvsEL._SY88.jpg']",bottom second yes washington buy perfectly lemans fit great car look read frame corvette weather guess read put blue top white close letter vette survive back ride see caption silverado
16,1205842,4,True,"04 26, 2017",A2ENJDCLM2SZ6,B00RK7FSC6,{'Color:': ' Red'},JJ,"Not bad, stays in place and gives it a better look from the beat up key I got.",Four Stars,1493164800,,,well look key beat get stay give place bad
17,1568186,5,True,"01 19, 2016",A1YG0NV939GF9S,B00514ARUI,,noble parish,perfect for my needs,Five Stars,1453161600,,,perfect need
18,885380,2,True,"02 13, 2017",A1P8V7AO44HBXO,B0091YV1F4,,Timfisk,Started to fkicker. They were very bright while working tho.,Two Stars,1486944000,,,bright tho fkicker work start
19,363912,5,True,"02 22, 2016",A1FHBBXSZHXS10,B000UUMM6K,{'Size:': ' Quantity 1'},Jody F. Roberts,item as expected,Five Stars,1456099200,,,item expect
20,576299,5,True,"11 15, 2013",A10B1MB284YW1Z,B001PLSU5K,,Daddy Stew,"Easy to install and dependable switch.  I like the clean, unobtrusive indicator light built into the switch.  This saves space and time by not having to install a separate indicator.",Rocker Switch w/Indicator,1384473600,2.0,,install separate unobtrusive save indicator built clean light like time switch space dependable easy
21,996419,5,True,"08 7, 2015",A3TGWYY6PDLPCX,B00DQ8N6LI,,Green Machine,Works on a 2007 335i.,Five Stars,1438905600,,,work
22,1103363,2,True,"08 27, 2016",A2FJ5RU7X9D7RW,B00JP6V1FS,{'Color:': ' Black'},Nano,One of the caps flew off after two days driving. Now the cap is screwed on but hollow.,Looks nice but the cap flew off,1472256000,2.0,,one flew day cap screw hollow two cap drive
23,1275479,1,True,"08 30, 2016",A1DJR5B1P6N69R,B00HE66N5E,"{'Size:': ' 0.5 Ounce', 'Color:': ' White'}",DandiJ,Color is not as shown.  It is a beige or yellow color not white.  I would see it in person instead of purchasing online as it is not a white color as stated.,Color is NOT white.,1472515200,,,online person state color instead purchase would yellow white beige show see
24,1535437,3,True,"06 7, 2018",A1FKWWITCUUTYU,B0020K0DJG,"{'Size:': ' 6 Inch Dual Action', 'Color:': ' Yellow'}",D. Romines,"MAKE SURE 5/16 hub is size that you want,  NOT 5/8-11  Does not fit most polishers. Rubber cap in pic may look ok if you are not careful.  Nice pad otherwise.",Check arbor size,1528329600,,,cap nice make sure careful fit otherwise rubber want pad size look ok polisher hub may pic
25,930627,5,True,"03 23, 2015",A7QFKJOKYRZ9N,B00B2A2ANC,"{'Size:': ' 9006 (HB4)', 'Color:': ' 10000K'}",Anthony Shaw,10k produces a very bright light blue.  Great product,Great,1427068800,,,great bright product produce blue light
26,965910,5,True,"12 26, 2014",A2V5WPB7EMFIF9,B00CBWLZPO,{'Color:': ' Dark Smoke'},Ida Stevenson,Have not used but looks good,visor,1419552000,,,looks good use
27,1632420,5,True,"09 7, 2017",A3G0C203B2AUL6,B00F7MDAXK,"{'Size:': ' Medium', 'Color:': ' Red/Black'}",Illinois&#039; Villa,had this jacket for over a year and is a great jacket to wear when riding my motorcycle; luckily i haven't had any accidents but it's nice to know i'm well protected just in case. can easily remove the inner lining when the weather is warmer with plenty of vents to keep you cool. but with any motorcycle jacket i wish there was more visibility reflective stripes since i tend to ride at night since i work a 2-10pm shift.,... this jacket for over a year and is a great jacket to wear when riding my motorcycle,1504742400,,,wear know remove vent shift motorcycle nice inner jacket tend case reflective great work luckily i'm visibility since cool warmer weather rid night protect well year accident ride keep stripe wish plenty line easily
28,466655,5,True,"01 25, 2016",A1121RYLC3J8QU,B0012TWRAO,,Amazon Customer,Works just as it should.,Five Stars,1453680000,,,work
29,255499,5,False,"07 6, 2014",A119I0BYEEIDUL,B000EQ0O7E,,GeneVS,They work and there quiet. Very good value and I recommend them.,Very good value and I recommend them,1404604800,,,work value recommend quiet good
30,1032718,4,True,"08 28, 2014",AT7KRAVDWCEYC,B00FQ8ANVC,,Mickey ball,Not as bight as I was hoping,good improvement over 12 year old oem obviously,1409184000,,,bight hop
31,444124,5,True,"11 18, 2017",A2I8M92KDCUWAF,B000WJB4HW,"{'Size:': ' Single', 'Color:': ' Black', 'Style:': ' Standard'}",Ryan is an Amazon Customer,me love hiflo filters long time.,The best $5 dolla you can spend.,1510963200,,,time long hiflo love filter
32,803969,5,True,"06 8, 2015",A2EX3N7VEF44OZ,B0063ZBXZC,,Scot,Nice to no longer need blocks under jack as well as effortlessly raise & lower from a distance while watching the levels. The cord holder is another nice perk. I was tempted to get another brand because I read that the cord holder was in the way of the propane tanks but I was pleasantly surprised that it now comes separate from the jack so you can install it wherever you want with two options for installing using screws or straps.,seems to be well made.,1433721600,,,distance surprise get propane separate install holder nice instal screw effortlessly option tank jack watch come longer pleasantly raise way want two wherever cord tempt read strap brand level well use need another low perk block
33,842001,5,True,"07 28, 2015",A1E9OUKPXOYOXL,B0076O0C1K,{'Size:': ' 22 oz.'},Bryon Donahoe,Did not purchase,Five Stars,1438041600,,,purchase
34,708880,5,True,"01 15, 2016",A3OO7BT0WMAKUZ,B004BWU8H8,{'Style:': ' Wrangler JK'},Baker3311,Great quality. Fast shipping.,Five Stars,1452816000,,,quality ship great fast
35,784125,5,True,"03 3, 2018",A2R4LIFWPCXZAV,B005JU5YCU,{'Size:': ' 22 Inches'},TrustEd,Best blades Ive ever used. Purchased a few times now and always happy. Good stuff!,Great blades!,1520035200,,,happy ever purchase always best blade good stuff time use ive
36,448989,5,True,"11 27, 2012",A1IM72G2OI3LDD,B000WUJC6Q,{'Package Type:': ' Standard Packaging'},Matthew Chatham,"The colors are a little off, but just look up a diagram on pin positioning and you shouldn't have any problems.",Works great,1353974400,,,problem diagram color position look little pin
37,1679514,5,True,"04 24, 2018",A1ECSI4A886236,B00W6J1J5S,,Frank J. Acquafreda,Great very happy,Five Stars,1524528000,,,happy great
38,1061919,5,True,"06 7, 2016",A10KGYKXT3SBGA,B00HDL2E4O,,TKseib,"I have had this for a month now and used it on multiple trips. Works great, looks great and is fairly lightweight (which was important to me as I have a bad back).  I have it attached to the rear hitch on my camper and fill it with firewood so I don't have to scrounge for wood for my campfires.  I also use it occasionally on my truck. The only thing to watch out for is the 4 corner joints are plastic and if the exhaust from your tailpipe hits them directly they might melt.  I wrapped the 2 corners closest to my truck (I have dual exhaust) with aluminum foil and have had no problems. I also bought a locking pin so thieves wouldn't be tempted to steal this off my camper or truck.  The side walls are low (around 3 inches high) so I would bungee down anything you haul with it.",Quality product - Highly recommend,1465257600,11.0,"['https://images-na.ssl-images-amazon.com/images/I/91Rc7Mr7kvL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/8154ThXzQ+L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91ZR2AWItSL._SY88.jpg']",firewood look wall plastic fill steal directly month hit use dual rear inch camper might foil pin bungee problem important high thing campfire great multiple wrap melt trip tempt fairly tailpipe occasionally exhaust scrounge back thieve close low use lock hitch watch would bad corner also lightweight work truck aluminum wood joint buy side haul around corner attach anything
