,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,review_clean
0,577775,3,True,"12 30, 2014",ARE17OJYCRDPJ,B00JTGEVJC,,CMorley,These were really cute but cheaply made. One came stained and a zipper fell of another almost immediately.,Three Stars,1419897600,,,one immediately come another almost zipper cheaply make really fell stain cute
1,168121,5,True,"05 14, 2016",A2YRWNGSR8R80T,B000GWE8TQ,,Linda U.,These pencils are great!  The go down very dull but when you apply water.....WOW!!!  The colors are so gorgeous and rich and vibrant.....they pop right off the page!!  They are fun and easy to use and you CAN use them in adult coloring books if you don't use tons of water. (It works best with the one sided pages). I recommend this product!,Recommended,1463184000,,,rich pop ton gorgeous dull great use pencil color best side page adult recommend fun go one page right apply product water.....wow vibrant.....they work color water easy book
2,247789,5,True,"09 30, 2016",AEXPQJCR23F4M,B0016T9MXK,"{'Size:': ' Letter - 8 1/2"" x 11""', 'Color:': ' Smoke Gray'}",Ruby S.,Fast shipping and excellent product!,Five Stars,1475193600,,,excellent product shipping fast
3,539959,5,True,"09 24, 2016",A2EXNZD82YVTU3,B00EZ956EC,{'Color:': ' Blue'},Trammi,Used this company for my wedding stamps and again for my business stamp. Works great. I recommend them.,Great product,1474675200,,,stamps great business stamp recommend wed work company use
4,523845,2,True,"03 23, 2017",A13713ZQFYUY07,B00D3P7I0E,,GoogahDad,This tape is either too sticky or too weak in certain sections. The sticky won't stay on the tape as it's supposed to. The sticky from the back of the tape sticks to the front of the tape and it's gotten worse as I get closer to the center of the roll. The tape is in an air conditioned house. Disappointed because I really liked how the letters FRAGILE were large and red. Now anything that has this tape on the outside of it...is sticky. I don't think i'll give this tape another shot because there are too many other options out there.,Disappointed that the sticky side comes off on the front.,1490227200,,['https://images-na.ssl-images-amazon.com/images/I/51Y9ZnDWNdL._SY88.jpg'],sticky give get bad house many air large either i'll roll option outside disappointed gotten shot section certain red center fragile stick stay really letter it...is condition like another suppose think weak back anything tape closer front
5,288451,5,True,"01 11, 2012",A2RXYLIKZA98PG,B0015N2J9Q,,Monalynn,The product came in a timely manner and was exactly what I had ordered. Also the price was comparable to other on line buying sources.,Exactly as epected.,1326240000,,,source comparable buying price manner come ordered line also product exactly timely
6,757880,5,True,"09 1, 2015",A1PB9PQ4WIBFW9,B00139YKH6,,Angelksses in MD,I used these to make display cards to advertise my Amazon books. They work great. I was able to get all three of my books on the front side of the cards.,Nice and easy way to advertise,1441065600,,,get able side make card use front great work amazon display advertise three book
7,755520,5,False,"08 26, 2016",A3UP52GUBVWIV8,B000SHSG2O,,j_kev,Excellent item!,Five Stars,1472169600,,,item excellent
8,732219,5,True,"10 24, 2017",A8O9YKK504VQ4,B01EWLJ23S,"{'Size:': ' 5.83in *4.33in', 'Color:': ' White Raspberry'}",Amazon Customer,"Expected this to be big,haha!",Five Stars,1508803200,,,"expect big,haha"
9,460369,4,True,"02 9, 2015",A33D4F449P5PJA,B006UGS7IK,"{'Size:': ' 3"" x 5""', 'Color:': ' Blue'}",Troy McLees,No comments,Four Stars,1423440000,,,comment
10,750095,5,True,"04 3, 2018",AWEL24GRGSI4S,B0006HXBJO,{'Color:': ' Hunter Green'},Jane S.,arrived as promised,arrived when promised,1522713600,,,arrive promise
11,606861,5,True,"08 14, 2016",A1KR9W8EGWA852,B00N335R9K,{'Style:': ' Printer'},Amazon Customer,This is an incredible printer extremely fast with unbelievable quality printing and photo printing also. I bought one of these for myself and this one was for a loved one. Would absolutely recommend this Printer,Excellent Product,1471132800,,,incredible buy photo printer extremely love unbelievable would recommend one also print quality absolutely fast
12,203978,4,True,"03 8, 2016",A1G6A15N13TKA3,B000UV7TI0,"{'Color:': ' Black', 'Package Type:': ' Standard Packaging'}",michael,writes well.  a bit heavy but overall great.  still concern about the thin clip.,a bit heavy but overall great. still concern about the thin clip,1457395200,,,well clip great still heavy bit overall thin writes concern
13,127683,4,True,"03 1, 2016",A3U3G5XLDLE9ZS,B0006HXNGK,{'Style:': ' Pack of 12 Pencils'},Sean Ali,good,Four Stars,1456790400,,,good
14,225116,5,True,"09 16, 2016",A2XHRHVNUA5EQ0,B0011459QE,{'Size:': ' 4 Ounce (1-Pack)'},Jill Anderson,Seriously the best!  Why sew anything when you can just use this?!,Seriously the best! Why sew anything when you can just use ...,1473984000,,,sew use seriously anything best
15,318602,5,True,"07 13, 2013",AG9Z5SAMLFO30,B001CJRM36,,Patty V.,I use Post-It notes everyday at work.  They are great to use for daily reminders and to use for reminders that I may not need for every day work.,Great product/great price,1373673600,,,day post-it everyday great use work note daily reminder need every may
16,32785,4,True,"11 20, 2016",AX4PYJQJM3AQR,B00006IAKM,"{'Color:': ' Black', 'Package Type:': ' Standard Packaging', 'Style:': ' Pencil Cup Organizer'}",Amazon Customer,Kinda small but works,Four Stars,1479600000,,,work kinda small
17,10106,1,True,"02 15, 2014",A3K8H26L9TJIF6,B00000JRRD,{'Format:': ' Personal Computers'},Dan Macomber,"This seemed like a good buy, but the hand rest part where the palm goes has literally caved in.. It's like buying one of those never-deflate pillows and getting one that turns mushy after you use it for  a few weeks. This thing is piece of s***--period.",Why should a gel pad mold permenantly into your hand?,1392422400,,,good thing go buy mushy hand use week piece palm cave like seemed never-deflate s***--period buy one pillow turn get part literally rest
18,735446,5,True,"05 15, 2017",A3L4HM1JFBC2FD,B01FT6XUYC,,Rik,"great product, right price!",Five Stars,1494806400,,,price product right great
19,514518,5,True,"02 5, 2017",A3O96LHLJQONKA,B00C7ZKELG,,Emlyjo,Love this! It keeps me on task! I even use an erasable pen and it has lasted for a long time!,Love this! It keeps me on task,1486252800,,,use time erasable long keep task love even last pen
20,511548,4,True,"09 9, 2015",A1YT72NBWI0TA,B00BWLFK56,,Buys A lot,No problems here.  We use these on low pile commercial carpet.,Just as expected,1441756800,,,problem pile use low commercial carpet
