,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,review_clean
0,45538,3,False,"02 5, 2016",A1VH2773H7GS8H,B00E8JST6Q,,alphaintervention,"I purchased this for my home emergency kit not to long ago. All in all it seems to be a good product for the price. I have used it once now after having touched a cookie sheet on accident (So i wanted a quick taste!) and I can say it did lessen the pain caused from the burn. However, I did have to keep applying it every few minutes to keep the pain away. Eventually I stopped using it for the burn and later that day and the next, you couldn't tell where I had been burnt from touching the sheet. I will say this, there is lots of advice out there which states you should not use burn creams or sprays in certain burn circumstances. I'm not an EMT or medical professional and wouldn't know when to not use this spray. Most likely, though I'm no pro, it shouldn't be used for extensive 2nd or 3rd degree burns. That said, this item is included in many emergency kits online.",All in all it seems to be a good product for the price,1454630400,,"['https://images-na.ssl-images-amazon.com/images/I/510iVswg1tL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51+rV+vzcnL._SY88.jpg']",know sheet away pro taste use burn say however product state touch medical professional next lot many extensive eventually seem cause accident later minute want advice burnt pain burn long circumstance include tell stop lessen spray apply spray likely home good quick online use price cream certain purchase degree item ago day emt touch i'm though kit emergency kit use cookie say every keep
1,58026,3,True,"07 13, 2016",A2P10J7VOPHFMA,B00RC0M8Q0,,Red Badger,You get what you pay for - if treated gently it works ok set it up where it can't fall and don't move it around.,As Advertised,1468368000,,,can't fall get move treat around set gently ok pay work
2,6527,2,False,"05 24, 2008",A1T1YSCDW0PD25,B000EHNDD0,,Lantana Al,"I had an older model Sonicare that lasted years. The newer e9500 seems to last only a few months before the power button seal breaks. This has happened twice. My second unit which was replaced by Philips just developed the same problem as the unit it replaced. Otherwise this would be a very good toothbrush but with this major flaw, I am only giving it two stars. See the photo I uploaded that shows this.  Also, on another note... water gets into the brush head. It builds-up ""junk"" after awhile. Not pretty.",Major flaw in e9500,1211587200,10.0,"['https://images-na.ssl-images-amazon.com/images/I/311RDEKSRGL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31bIxnnnmqL._SY88.jpg']",brush year second uploaded power good twice happen photo seem show problem otherwise head major sonicare button pretty two toothbrush awhile month break seal model would newer flaw star give philip also builds-up another note get old see junk last developed water unit last replace
3,52070,5,True,"02 25, 2017",A2CATZYSNUO4WZ,B00K504M8G,"{'Size:': ' 2"" Square - 20 pack'}",cml,Nice size - larger than the original pads.,Five Stars,1487980800,,,size large nice original pad
4,27456,5,True,"11 23, 2017",A2B1MZL8V8VWTG,B003ZZY8F0,{'Size:': ' Pack of 100'},Jennifer,Yes! Perfect for protecting all my tiny board gaming bits. This is perfect if you are someone who immediately trashes useless board game inserts. Pro tip: buy a variety of sizes. Yes! You need them all. Your bits will thank you.,Protect your tiny bits,1511395200,,,useless insert yes pro protect tip size variety immediately trash game board tiny buy bit someone game need perfect thank
5,26456,5,True,"03 11, 2015",A10LWFKVC21F82,B003K0J4IQ,{'Size:': ' Pack of 50'},David G,These are amazing. I'll never use wire nuts again. I do a lot of home improvement and I was sold the first time I used them. These are nearly foolproof and have great specs.,Goodbye Wire Nuts - Hello Lever Nuts,1426032000,,,foolproof nut home spec use i'll never great use first amazing time sell nearly wire lot improvement
6,60003,5,True,"03 11, 2017",A1Y90O3KRCENSW,B00W71JDTY,{'Size:': ' 150ML'},Rick Day,"I bought this to directly and accurately apply dye for tie dyeing clothes. It works very well with the provided tubes.  It works better than expected. Compared with Yorbett that has a different color plunger, but the results were better with the Karling because the tube was narrower than the Yobett.  Both have gone through three uses, with no sign of wearing out.  Ordered both at the same time, arrived at the same time in same box. WTG drones!",Tie Dye precise application tool,1489190400,,,compare plunger arrive wtg accurately wear yobett sign buy directly provide yorbett color karling different tie good time result narrower clothes order dye box drone tube well expect three apply go works us tube dye
7,76492,5,True,"09 16, 2018",A3L1Z7O3DC8HJH,B01B5KO0D6,{'Color:': ' Blue'},William Burns,Prints great and looks outstanding,Five Stars,1537056000,,,look great outstanding print
8,70436,5,True,"03 23, 2016",A6S5KD28B93UO,B000VKJAAU,,Michael Scopone,Excellent worked well and arrived quickly.,Five Stars,1458691200,,,well arrive excellent quickly work
9,36891,5,True,"10 17, 2015",AI8EMB0HUC6Z5,B00843KK9Q,,Tyler Forge,"It's amazing how much of this I use. Great price and quality.  It comes kind of wadded up but it's all there and it works great. At these prices it is handier and better than vinyl tape because it isn't sticky, makes a better mechanical joint, and won't won't unwrap - not even in direct sunlight. It shrinks right down when heated with het gun, match, soldering iron tip, ...",Great stuff to buy in bulk,1445040000,,,sticky unwrap sunlight het kind much vinyl gun tip great use direct joint solder come amazing price price iron good make heated shrink match right handy mechanical quality work even tape wad
