,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,review_clean
0,0,5,True,"06 17, 2018",A31UBHTUUIFJUT,B004LLIKVU,{'Gift Amount:': ' 50'},john stoiber,Another great gift.,Five Stars,1529193600,,,another gift great
1,1,4,True,"06 14, 2018",A2MN5JQMIY0FQ2,B004LLIKVU,{'Gift Amount:': ' 50'},Amazon Customer,Gift card for my daughter,Ease of use,1528934400,,,daughter card gift
2,2,5,True,"06 2, 2018",A25POI5IGGENPM,B004LLIKVU,{'Gift Amount:': ' 50'},Kindle Customer,Nice present,Five Stars,1527897600,,,present nice
3,3,5,True,"05 19, 2018",A2HYGTHB4LJ9FW,B004LLIKVU,{'Gift Amount:': ' 50'},Amante dei Gatti,My niece loved this birthday greeting/gift card.,Love the convenience of eCards,1526688000,,,love birthday greeting/gift card niece
4,4,5,True,"05 18, 2018",ACDG3M94UMZGJ,B004LLIKVU,{'Gift Amount:': ' 50'},Joan Freesh,fine as a gift.,Five Stars,1526601600,,,gift fine
5,5,5,True,"05 8, 2018",ABWSFKJ1MRN1Q,B004LLIKVU,{'Gift Amount:': ' 50'},Barb Peterson,I would have preferred some more choices.,Five Stars,1525737600,,,preferred choice would
6,6,5,True,"05 1, 2018",A34JP8QRZRS7W5,B004LLIKVU,{'Gift Amount:': ' 50'},dood,great,great,1525132800,,,great
7,7,5,True,"04 27, 2018",A2JCUY769II5B5,B004LLIKVU,{'Gift Amount:': ' 50'},Stephanie K,Very cute design and enjoyed by recipient.,Five Stars,1524787200,,,recipient design enjoy cute
8,8,4,True,"04 12, 2018",A1MAKKM3E4PFE2,B004LLIKVU,{'Gift Amount:': ' 50'},NPR MAN,"I used the text option to send these last minute gift cards to my Granddaughters (via their mom's phone). Works really well, you get a confirmation email that it has been received, and a confirmation that the cards have been redeemed. Granddaughter's very happy with the card design. I love the options you have when you send Amazon gift cards!","I texted this gift card to my Granddaughter, works like a charm, they get the card instantly!",1523491200,,,option get confirmation email send via mom's phone granddaughter's granddaughter card use option text card amazon design minute happy really gift well love work receive redeem last
9,9,5,True,"04 12, 2018",A35NK1PEDWMV0I,B004LLIKVU,{'Gift Amount:': ' 50'},Traveler,This was for a gift and it was well received.,Five Stars,1523491200,,,well gift receive
