,Unnamed: 0,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,review_clean
0,1366261,5,True,"07 14, 2017",A15WJPARAT55R2,B00K92810A,,JohnFromVirginia,"These worked well to remove the water filter from my refrigerator. I didn't realize it, but the filter actually froze, and the strap wrench allowed enough torque to get it off.",Worked well to remove the water filter from my refrigerator,1499990400,,,remove get enough allow worked realize refrigerator wrench well torque actually filter water strap froze
1,45342,1,True,"05 25, 2017",A1NDKOP4QR8VWR,B00004UDKW,,W. N.,"Manufacturer defect. The rear handle is loose. There's a long brass screw that goes all the way down to the shoe (base). This screw isn't long enough. Not even close. On the positive side, the shoe was really flat--I've never had a plane, including old ones, where the bottom of the shoe was was this perfect.","Rear handle, loose, screw wasn't long enough.",1495670400,,,bottom flat--i've enough side go defect base never plane way manufacturer old positive long include handle screw there's rear really close loose perfect one even shoe brass
2,124988,5,True,"07 2, 2016",A3W1XRD13R8NIH,B0002YVK44,{'Size:': ' 1 Pack'},global,"Yes easy install excellent product, great price for all the accessories.",Five Stars,1467417600,,,excellent install great accessory product yes price easy
3,279137,5,True,"10 26, 2016",A23T36HW6G0YA9,B000I66TTW,{'Color:': ' Black'},james r.,good,Five Stars,1477440000,,,good
4,1138571,5,True,"03 13, 2018",A21RRU05Y58O6T,B00BBO1S14,"{'Color:': ' Brass', 'Style:': ' Straight Edge'}",PolarPro,Seriously solid small blade lives on my key chain,Great addition to my key chain,1520899200,,,solid key live seriously blade small chain
5,1154676,5,True,"05 12, 2017",A1P452PQFSTK2F,B00BR1BH8U,{'Size:': ' Small'},Lei,Very good quality,Five Stars,1494547200,,,quality good
6,2009870,2,True,"11 1, 2015",A1JN63QBBNGB78,B00JYNF5ZY,{'Color:': ' 3 Function Set'},Elle S,"After installing EXACTLY per instructions, lowered shower wand to normal position for showering (NO undue pressure exerted!) and when water was turned on it spews out the back of the ball joint part.  If the shower wand is put back up in upright position (as shown in the amazon site picture), water doesn't spew out but does drip.  Hello seller - is this normal or did I get a defective part???  Looks like I will have to send it back.  Otherwise I really liked the hose and selected spray setting.  Bummer.",Looks like this puppy will be going back.,1446336000,3.0,,turn per defective get look send spray spews instal hello set bummer instruction wand otherwise joint spew amazon upright drip like ball shower put lower really select picture undue position exert site hose pressure show part exactly seller like back water showering normal
7,294671,5,True,"02 12, 2015",A26GUWYQNHELB7,B000K2IKPA,{'Size:': ' Inch'},James W Lee,Good tools for the price,Good stuff,1423699200,,,tool price good
8,1792486,1,True,"02 2, 2018",A1YAG9LJAR4AQ8,B01EOWA4H8,{'Size:': ' Medium'},Jae,"I feel the model use to shape these gloves have thumbs farther back on the hands and their pinky knuckle sits much further away from the palm than the middle knuckle.  When wearing them, it feels like they are curling my hands so my thumbs and pinkies connects away from my palms.",it feels like they are curling my hands so my thumbs and ...,1517529600,,,pinky away shape wear pinky much palm use feels hand feel palm like middle curl model sits gloves farther connects thumb back knuckle
9,1027904,5,True,"12 25, 2014",AJ00U9CSOUTH2,B00775COIW,,Darryl Roach,Great item. Love it and will recommend it to anyone..,Great item. Love it and will recommend it to anyone..,1419465600,,,great love recommend anyone item
